,uid,apply_type,cet4,cet6,grade_points,honour,project,ranking_absolu,ranking,level,location,label,score
1,2,0,556,513,0.9473,"['[ 101  753 5023 1946 ...    0    0    0    0]', '[ 101 4689  100 1158 ...    0    0    0    0]', '[ 101 4886 2456 4689 ...    0    0    0    0]', '[ 101 7770 3413 1555 ...    0    0    0    0]', '[ 101 1920 2110 4495 ...    0    0    0    0]', '[ 101 1059 1744 3360 ...    0    0    0    0]', '[ 101 3302 1158 6612 ...    0    0    0    0]', '[ 101 6763  816 5865 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 7373 4708  872 ...    0    0    0    0]', '[ 101 7373 4708  872 ...    0    0    0    0]', '[ 101 7373 4708  872 ...    0    0    0    0]', '[ 101 7373 4708  872 ...    0    0    0    0]', '[ 101 7373 4708  872 ...    0    0    0    0]', '[ 101 7373 4708  872 ...    0    0    0    0]', '[ 101 7373 4708  872 ...    0    0    0    0]', '[ 101 7373 4708  872 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",5,4,1,35,0,0
2,3,0,478,442,0.9975,"['[ 101 8109  118 8271 ...    0    0    0    0]', '[ 101 8109  118 8271 ...    0    0    0    0]', '[ 101 8271  118 9160 ...    0    0    0    0]', '[ 101 8271 2399 3264 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",44,2,2,51,0,0
3,5,0,515,492,0.94,"['[ 101 6369 5050 3322 ...    0    0    0    0]', '[ 101  100  686 5279 ...    0    0    0    0]', '[ 101 7032 6084 4906 ...    0    0    0    0]', '[ 101 6395 1171  794 ...    0    0    0    0]', '[ 101 3309 6573  794 ...    0    0    0    0]', '[ 101 7770  704 3144 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 3840 3358 1744 ...    0    0    0    0]', '[ 101 6598  772 6395 ...    0    0    0    0]', '[ 101 7791 1213 2476 ...    0    0    0    0]', '[ 101 3840 3358 1744 ...    0    0    0    0]', '[ 101 6598  772 6395 ...    0    0    0    0]', '[ 101 7791 1213 2476 ...    0    0    0    0]', '[ 101 3840 3358 1744 ...    0    0    0    0]', '[ 101 6598  772 6395 ...    0    0    0    0]', '[ 101 7791 1213 2476 ...    0    0    0    0]', '[ 101 3840 3358 1744 ...    0    0    0    0]', '[ 101 6598  772 6395 ...    0    0    0    0]', '[ 101 7791 1213 2476 ...    0    0    0    0]', '[ 101 3840 3358 1744 ...    0    0    0    0]', '[ 101 6598  772 6395 ...    0    0    0    0]', '[ 101 7791 1213 2476 ...    0    0    0    0]', '[ 101 3840 3358 1744 ...    0    0    0    0]', '[ 101 6598  772 6395 ...    0    0    0    0]', '[ 101 7791 1213 2476 ...    0    0    0    0]', [0], [0]]",71,1,1,13,0,0
4,6,0,496,469,0.9325,"['[ 101 1736 1106 3344 ...    0    0    0    0]', '[ 101 6369 5050 3322 ...    0    0    0    0]', '[ 101 4636  674 1398 ...    0    0    0    0]', '[ 101 5739 3152 1091 ...    0    0    0    0]', '[ 101  757 5468 5381 ...    0    0    0    0]', '[ 101  683  689 4294 ...    0    0    0    0]', '[ 101 5466 1767 3563 ...    0    0    0    0]', '[ 101 1069 3360 3344 ...    0    0    0    0]', '[ 101  676 1962 2110 ...    0    0    0    0]', '[ 101  831 4899 1066 ...    0    0    0    0]', '[ 101  831 4899 1066 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0]]",36,3,1,34,0,0
5,9,0,507,455,0.895,"['[ 101 1059 1744 1920 ...    0    0    0    0]', '[ 101 1059 1744 1920 ...    0    0    0    0]', '[ 101 2904 2773 3344 ...    0    0    0    0]', '[ 101  756 1298 4689 ...    0    0    0    0]', '[ 101 1912 4777 4852 ...    0    0    0    0]', '[ 101  756 1298 3696 ...    0    0    0    0]', '[ 101 2110 3318 4906 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 1920 2110 4495 ...    0    0    0    0]', '[ 101  756 1298 3696 ...    0    0    0    0]', '[ 101 1920 2110 4495 ...    0    0    0    0]', '[ 101  756 1298 3696 ...    0    0    0    0]', '[ 101 1920 2110 4495 ...    0    0    0    0]', '[ 101  756 1298 3696 ...    0    0    0    0]', '[ 101 1920 2110 4495 ...    0    0    0    0]', '[ 101  756 1298 3696 ...    0    0    0    0]', '[ 101 1920 2110 4495 ...    0    0    0    0]', '[ 101  756 1298 3696 ...    0    0    0    0]', '[ 101 1920 2110 4495 ...    0    0    0    0]', '[ 101  756 1298 3696 ...    0    0    0    0]', '[ 101 1920 2110 4495 ...    0    0    0    0]', '[ 101  756 1298 3696 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0]]",17,3,1,53,0,0
6,12,0,587,463,0.94,"['[ 101 1759 1765 6226 ...    0    0    0    0]', '[ 101 6639 4413 1767 ...    0    0    0    0]', '[ 101 3490 4289 4510 ...    0    0    0    0]', '[ 101  831 4899 6444 ...    0    0    0    0]', '[ 101  831 4899 1066 ...    0    0    0    0]', '[ 101  831 4899 2562 ...    0    0    0    0]', '[ 101 1912 6225 6392 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",4.888888889,9,2,32,0,0
7,13,0,564,533,0.9175,"['[ 101 1059 1744 1920 ...    0    0    0    0]', '[ 101 1059 1744 1920 ...    0    0    0    0]', '[ 101 1059 1744 1920 ...    0    0    0    0]', '[ 101 9160 2904 2773 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 9160 2399 6444 ...    0    0    0    0]', '[ 101 9160 2399 6444 ...    0    0    0    0]', '[ 101 9160 2399 6444 ...    0    0    0    0]', '[ 101 9160 2399 6444 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",86,1,1,13,0,0
8,14,0,481,0,0.9011,"['[ 101 1909  808 5852 ...    0    0    0    0]', '[ 101 1744 2157 1225 ...    0    0    0    0]', '[ 101 3413  671 5023 ...    0    0    0    0]', '[ 101 4906 3249 1158 ...    0    0    0    0]', '[ 101 3173 2054  860 ...    0    0    0    0]', '[ 101  676 1962 2110 ...    0    0    0    0]', '[ 101 4852  833 3833 ...    0    0    0    0]', '[ 101  831 4899 1066 ...    0    0    0    0]', '[ 101 1920 2110 4495 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 7623 1337 1796 ...    0    0    0    0]', '[ 101 3777 1266 1093 ...    0    0    0    0]', '[ 101 7623 1337 1796 ...    0    0    0    0]', '[ 101 3777 1266 1093 ...    0    0    0    0]', '[ 101 7623 1337 1796 ...    0    0    0    0]', '[ 101 3777 1266 1093 ...    0    0    0    0]', '[ 101 7623 1337 1796 ...    0    0    0    0]', '[ 101 3777 1266 1093 ...    0    0    0    0]', '[ 101 7623 1337 1796 ...    0    0    0    0]', '[ 101 3777 1266 1093 ...    0    0    0    0]', '[ 101 7623 1337 1796 ...    0    0    0    0]', '[ 101 3777 1266 1093 ...    0    0    0    0]', '[ 101 7623 1337 1796 ...    0    0    0    0]', '[ 101 3777 1266 1093 ...    0    0    0    0]', '[ 101 7623 1337 1796 ...    0    0    0    0]', '[ 101 3777 1266 1093 ...    0    0    0    0]', '[ 101 7623 1337 1796 ...    0    0    0    0]', '[ 101 3777 1266 1093 ...    0    0    0    0]', [0], [0]]",34,2,1,13,0,0
9,15,0,513,533,0.808,"['[ 101 1946 2110 7032 ...  102    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101  517  782 1213 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",129,1,1,41,0,0
10,16,0,519,479,0.9775,"['[ 101 1059 1744 1920 ...    0    0    0    0]', '[ 101 3777 1266 1920 ...    0    0    0    0]', '[ 101 3777 1266 1920 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",11.6,5,1,13,0,0
11,18,0,563,442,0.9525,"['[ 101 1059 1744 1920 ...    0    0    0    0]', '[ 101 4384  924 4761 ...    0    0    0    0]', '[ 101 7946 7987 3736 ...    0    0    0    0]', '[ 101 3563 5745 1730 ...    0    0    0    0]', '[ 101 2170  969 4852 ...    0    0    0    0]', '[ 101  676 1962 2110 ...    0    0    0    0]', '[ 101  831 4899 2110 ...    0    0    0    0]', '[ 101 5709 5686 2825 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",11.16666667,6,2,23,0,0
12,19,0,427,372,0.965,"['[ 101 8136  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",30.33333333,3,2,23,0,0
13,20,0,552,473,0.82,"['[ 101 1736 1106 3344 ...    0    0    0    0]', '[ 101 1724 2335 4689 ...    0    0    0    0]', '[ 101 2904 2773 3344 ...    0    0    0    0]', '[ 101 3717 1759  924 ...    0    0    0    0]', '[ 101  100 7029 6637 ...    0    0    0    0]', '[ 101  831 4899 1066 ...    0    0    0    0]', '[ 101  831 4899 2110 ...    0    0    0    0]', '[ 101  831 4899 1066 ...    0    0    0    0]', '[ 101 4852  833 2141 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",164,1,2,51,0,0
14,21,0,451,0,0.925,"['[ 101 1946 2110 7032 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",10,3,2,22,0,0
15,23,0,510,458,0.802,"['[ 101 2170  969 4852 ...    0    0    0    0]', '[ 101  831 4899 1730 ...    0    0    0    0]', '[ 101  831 4899 2110 ...    0    0    0    0]', '[ 101 3264  969 4852 ...    0    0    0    0]', '[ 101 3563 5745 1730 ...    0    0    0    0]', '[ 101  676 1962 2110 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",12.70588235,17,2,23,0,0
16,26,0,486,0,0.88,"['[ 101  676 1158 2904 ...    0    0    0    0]', '[ 101 2904 2773 3344 ...    0    0    0    0]', '[ 101 2904 2773 3344 ...    0    0    0    0]', '[ 101 4689 6817  833 ...    0    0    0    0]', '[ 101  100  831 4899 ...    0    0    0    0]', '[ 101  100  831 4899 ...    0    0    0    0]', '[ 101  100  831 4899 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",59,1,1,37,0,0
