,i,project,label
0,1.0,000,0.0
1,1.0,000,0.0
2,1.0,000,0.0
3,1.0,000,0.0
4,2.0,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级,0.0
5,2.0,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级,0.0
6,2.0,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级,0.0
7,2.0,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级,0.0
8,2.0,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级,0.0
9,2.0,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级,0.0
10,2.0,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级,0.0
11,2.0,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级,0.0
12,3.0,000,0.0
13,3.0,000,0.0
14,3.0,000,0.0
15,3.0,000,0.0
16,5.0,浅析国产科幻电影《流浪地球》火爆原因在《卷宗》期刊上发表一篇题目为《浅析国产科幻电影火爆原因》的论文，于2019年第04月（上）期刊用。省市级,0.0
17,5.0,资产证券化优缺点及我国发展趋势分析在《创业圈.大经贸》期刊上发表一篇题目为《资产证券化优缺点及我国发展趋势分析》的论文，于2019年06月刊用。省市级,0.0
18,5.0,魅力张家口之2022年冬奥会给张家口带来的变化调研形成一篇调研报告并获得优秀团队奖其他,0.0
19,5.0,浅析国产科幻电影《流浪地球》火爆原因在《卷宗》期刊上发表一篇题目为《浅析国产科幻电影火爆原因》的论文，于2019年第04月（上）期刊用。省市级,0.0
20,5.0,资产证券化优缺点及我国发展趋势分析在《创业圈.大经贸》期刊上发表一篇题目为《资产证券化优缺点及我国发展趋势分析》的论文，于2019年06月刊用。省市级,0.0
21,5.0,魅力张家口之2022年冬奥会给张家口带来的变化调研形成一篇调研报告并获得优秀团队奖其他,0.0
22,5.0,浅析国产科幻电影《流浪地球》火爆原因在《卷宗》期刊上发表一篇题目为《浅析国产科幻电影火爆原因》的论文，于2019年第04月（上）期刊用。省市级,0.0
23,5.0,资产证券化优缺点及我国发展趋势分析在《创业圈.大经贸》期刊上发表一篇题目为《资产证券化优缺点及我国发展趋势分析》的论文，于2019年06月刊用。省市级,0.0
24,5.0,魅力张家口之2022年冬奥会给张家口带来的变化调研形成一篇调研报告并获得优秀团队奖其他,0.0
25,5.0,浅析国产科幻电影《流浪地球》火爆原因在《卷宗》期刊上发表一篇题目为《浅析国产科幻电影火爆原因》的论文，于2019年第04月（上）期刊用。省市级,0.0
26,5.0,资产证券化优缺点及我国发展趋势分析在《创业圈.大经贸》期刊上发表一篇题目为《资产证券化优缺点及我国发展趋势分析》的论文，于2019年06月刊用。省市级,0.0
27,5.0,魅力张家口之2022年冬奥会给张家口带来的变化调研形成一篇调研报告并获得优秀团队奖其他,0.0
28,5.0,浅析国产科幻电影《流浪地球》火爆原因在《卷宗》期刊上发表一篇题目为《浅析国产科幻电影火爆原因》的论文，于2019年第04月（上）期刊用。省市级,0.0
29,5.0,资产证券化优缺点及我国发展趋势分析在《创业圈.大经贸》期刊上发表一篇题目为《资产证券化优缺点及我国发展趋势分析》的论文，于2019年06月刊用。省市级,0.0
30,5.0,魅力张家口之2022年冬奥会给张家口带来的变化调研形成一篇调研报告并获得优秀团队奖其他,0.0
31,5.0,浅析国产科幻电影《流浪地球》火爆原因在《卷宗》期刊上发表一篇题目为《浅析国产科幻电影火爆原因》的论文，于2019年第04月（上）期刊用。省市级,0.0
32,5.0,资产证券化优缺点及我国发展趋势分析在《创业圈.大经贸》期刊上发表一篇题目为《资产证券化优缺点及我国发展趋势分析》的论文，于2019年06月刊用。省市级,0.0
33,5.0,魅力张家口之2022年冬奥会给张家口带来的变化调研形成一篇调研报告并获得优秀团队奖其他,0.0
34,6.0,000,0.0
35,6.0,000,0.0
36,6.0,000,0.0
37,6.0,000,0.0
38,6.0,000,0.0
39,6.0,000,0.0
40,6.0,000,0.0
41,6.0,000,0.0
42,6.0,000,0.0
43,6.0,000,0.0
44,6.0,000,0.0
45,7.0,000,0.0
46,9.0,大学生创新项目校级立项00,0.0
47,9.0,云南民族大学暑期科研校级立项调查报告其他,0.0
48,9.0,大学生创新项目校级立项00,0.0
49,9.0,云南民族大学暑期科研校级立项调查报告其他,0.0
50,9.0,大学生创新项目校级立项00,0.0
51,9.0,云南民族大学暑期科研校级立项调查报告其他,0.0
52,9.0,大学生创新项目校级立项00,0.0
53,9.0,云南民族大学暑期科研校级立项调查报告其他,0.0
54,9.0,大学生创新项目校级立项00,0.0
55,9.0,云南民族大学暑期科研校级立项调查报告其他,0.0
56,9.0,大学生创新项目校级立项00,0.0
57,9.0,云南民族大学暑期科研校级立项调查报告其他,0.0
58,9.0,大学生创新项目校级立项00,0.0
59,9.0,云南民族大学暑期科研校级立项调查报告其他,0.0
60,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
61,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
62,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
63,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
64,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
65,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
66,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
67,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
68,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
69,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
70,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级,1.0
71,12.0,000,0.0
72,12.0,000,0.0
73,12.0,000,0.0
74,12.0,000,0.0
75,12.0,000,0.0
76,12.0,000,0.0
77,12.0,000,0.0
78,13.0,2019年调研河北社会调查活动立项省市级,0.0
79,13.0,2019年调研河北社会调查活动立项省市级,0.0
80,13.0,2019年调研河北社会调查活动立项省市级,0.0
81,13.0,2019年调研河北社会调查活动立项省市级,0.0
82,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他,0.0
83,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,0.0
84,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他,0.0
85,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,0.0
86,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他,0.0
87,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,0.0
88,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他,0.0
89,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,0.0
90,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他,0.0
91,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,0.0
92,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他,0.0
93,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,0.0
94,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他,0.0
95,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,0.0
96,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他,0.0
97,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,0.0
98,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他,0.0
99,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他,0.0
100,15.0,《人力资源管理操作实务》《人力资源管理操作实务》章节案例其他,0.0
101,16.0,000,0.0
102,16.0,000,0.0
103,16.0,000,0.0
104,18.0,000,0.0
105,18.0,000,0.0
106,18.0,000,0.0
107,18.0,000,0.0
108,18.0,000,0.0
109,18.0,000,0.0
110,18.0,000,0.0
111,18.0,000,0.0
112,19.0,000,0.0
113,20.0,000,0.0
114,20.0,000,0.0
115,20.0,000,0.0
116,20.0,000,0.0
117,20.0,000,0.0
118,20.0,000,0.0
119,20.0,000,0.0
120,20.0,000,0.0
121,20.0,000,0.0
122,21.0,000,0.0
123,22.0,000,0.0
124,23.0,院级大学生创新训练项目结项证书其他,0.0
125,23.0,院级大学生创新训练项目结项证书其他,0.0
126,23.0,院级大学生创新训练项目结项证书其他,0.0
127,23.0,院级大学生创新训练项目结项证书其他,0.0
128,23.0,院级大学生创新训练项目结项证书其他,0.0
129,23.0,院级大学生创新训练项目结项证书其他,0.0
130,24.0,基于TensorFlow框架的神经网络猫狗分类器实现使用CNN成功实现图片的分类其他,1.0
131,24.0,基于QGIS的城市餐饮店铺选址分析与可视化，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。其他,1.0
132,24.0,房价影响因素挖掘看出上海房价市场的“中心城区-郊区”分化特征。其他,1.0
133,24.0,信用卡欺诈检测 可以提供的信息检测出信用卡是否存在欺诈嫌疑其他,1.0
134,24.0,电商打折套路解析发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天其他,1.0
135,24.0,基于TensorFlow框架的神经网络猫狗分类器实现使用CNN成功实现图片的分类其他,1.0
136,24.0,基于QGIS的城市餐饮店铺选址分析与可视化，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。其他,1.0
137,24.0,房价影响因素挖掘看出上海房价市场的“中心城区-郊区”分化特征。其他,1.0
138,24.0,信用卡欺诈检测 可以提供的信息检测出信用卡是否存在欺诈嫌疑其他,1.0
139,24.0,电商打折套路解析发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天其他,1.0
140,24.0,基于TensorFlow框架的神经网络猫狗分类器实现使用CNN成功实现图片的分类其他,1.0
141,24.0,基于QGIS的城市餐饮店铺选址分析与可视化，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。其他,1.0
142,24.0,房价影响因素挖掘看出上海房价市场的“中心城区-郊区”分化特征。其他,1.0
143,24.0,信用卡欺诈检测 可以提供的信息检测出信用卡是否存在欺诈嫌疑其他,1.0
144,24.0,电商打折套路解析发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天其他,1.0
145,24.0,基于TensorFlow框架的神经网络猫狗分类器实现使用CNN成功实现图片的分类其他,1.0
146,24.0,基于QGIS的城市餐饮店铺选址分析与可视化，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。其他,1.0
147,24.0,房价影响因素挖掘看出上海房价市场的“中心城区-郊区”分化特征。其他,1.0
148,24.0,信用卡欺诈检测 可以提供的信息检测出信用卡是否存在欺诈嫌疑其他,1.0
149,24.0,电商打折套路解析发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天其他,1.0
150,24.0,基于TensorFlow框架的神经网络猫狗分类器实现使用CNN成功实现图片的分类其他,1.0
151,24.0,基于QGIS的城市餐饮店铺选址分析与可视化，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。其他,1.0
152,24.0,房价影响因素挖掘看出上海房价市场的“中心城区-郊区”分化特征。其他,1.0
153,24.0,信用卡欺诈检测 可以提供的信息检测出信用卡是否存在欺诈嫌疑其他,1.0
154,24.0,电商打折套路解析发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天其他,1.0
155,24.0,基于TensorFlow框架的神经网络猫狗分类器实现使用CNN成功实现图片的分类其他,1.0
156,24.0,基于QGIS的城市餐饮店铺选址分析与可视化，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。其他,1.0
157,24.0,房价影响因素挖掘看出上海房价市场的“中心城区-郊区”分化特征。其他,1.0
158,24.0,信用卡欺诈检测 可以提供的信息检测出信用卡是否存在欺诈嫌疑其他,1.0
159,24.0,电商打折套路解析发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天其他,1.0
160,24.0,基于TensorFlow框架的神经网络猫狗分类器实现使用CNN成功实现图片的分类其他,1.0
161,24.0,基于QGIS的城市餐饮店铺选址分析与可视化，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。其他,1.0
162,24.0,房价影响因素挖掘看出上海房价市场的“中心城区-郊区”分化特征。其他,1.0
163,24.0,信用卡欺诈检测 可以提供的信息检测出信用卡是否存在欺诈嫌疑其他,1.0
164,24.0,电商打折套路解析发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天其他,1.0
165,25.0,000,1.0
166,25.0,000,1.0
167,25.0,000,1.0
168,25.0,000,1.0
169,26.0,乡村振兴战略下农村零售企业社会责任影响因素研究未结项国家级,0.0
170,26.0,乡村振兴战略下农村零售企业社会责任影响因素研究未结项国家级,0.0
171,26.0,乡村振兴战略下农村零售企业社会责任影响因素研究未结项国家级,0.0
172,26.0,乡村振兴战略下农村零售企业社会责任影响因素研究未结项国家级,0.0
173,26.0,乡村振兴战略下农村零售企业社会责任影响因素研究未结项国家级,0.0
174,26.0,乡村振兴战略下农村零售企业社会责任影响因素研究未结项国家级,0.0
175,26.0,乡村振兴战略下农村零售企业社会责任影响因素研究未结项国家级,0.0
176,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
177,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
178,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
179,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
180,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
181,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
182,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
183,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
184,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
185,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
186,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
187,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
188,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究00,0.0
189,28.0,000,1.0
190,28.0,000,1.0
191,28.0,000,1.0
192,29.0,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他,0.0
193,29.0,厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他,0.0
194,29.0,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他,0.0
195,29.0,厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他,0.0
196,29.0,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他,0.0
197,29.0,厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他,0.0
198,29.0,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他,0.0
199,29.0,厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他,0.0
200,29.0,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他,0.0
201,29.0,厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他,0.0
202,29.0,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他,0.0
203,29.0,厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他,0.0
204,29.0,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他,0.0
205,29.0,厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他,0.0
206,29.0,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他,0.0
207,29.0,厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他,0.0
