honour_id,uid,honour_name,specificdesc,certificate,certificate_level,honour_at,create_at
1,16,全国大学生英语竞赛,C类全国三等奖,public/img/stu/16/honour/16_1111c1bd.jpeg,国家级,May-17,2019/9/12 1:31
2,16,河北大学奖学金,,public/img/stu/16/honour/16_a6bf5564.jpeg,校级,Dec-17,2019/9/12 1:34
3,16,河北大学优秀共青团员,,public/img/stu/16/honour/16_bd81afbe.jpeg,校级,May-19,2019/9/12 1:35
4,13,全国大学生英语竞赛,C类二等奖,public/img/stu/13/honour/13_ec9eff22.jpeg,其他,May-19,2019/9/12 1:39
5,13,全国大学生数学建模,河北赛区本科组一等奖,public/img/stu/13/honour/13_3b86dcd5.jpeg,省市级,Dec-18,2019/9/12 1:40
6,13,全国大学生市调大赛,河北赛区二等奖,public/img/stu/13/honour/13_e86e8947.jpeg,省市级,May-18,2019/9/12 1:41
7,13,2019挑战杯,河北赛区二等奖,,省市级,Aug-19,2019/9/12 1:42
8,3,2017-2018学年度国家,,public/img/stu/3/honour/3_d3d249c6.jpeg,省市级,Nov-18,2019/9/12 1:48
9,3,2017-2018学年度优秀,,public/img/stu/3/honour/3_7a9fbf6c.jpeg,校级,Nov-18,2019/9/12 1:49
10,3,2018-2019学年度优秀,,public/img/stu/3/honour/3_659247ca.jpeg,校级,May-19,2019/9/12 1:50
11,15,奖学金、三好学生,2019.04：河南工业大学三好学生2018.11：国家奖学金2018.11：河南工业大学第四届企业模拟经营（ERP沙盘）竞赛二等奖2018.06：河南省省级三好学生2018.04：河南工业大学三好学生2017.12：河南工业大学第二届“外语杯”专业竞赛二等奖2017.11：国家励志奖学金,public/img/stu/15/honour/15_fa4ab39a.jpeg,国家级,Apr-19,2019/9/12 1:50
12,3,2018年暑期社会实践院,,public/img/stu/3/honour/3_2b8367cb.jpeg,院级,Oct-18,2019/9/12 1:51
13,1,国家奖学金,2017—2018学年 国家奖学金,public/img/stu/1/honour/1_f4a973ef.png,国家级,Nov-18,2019/9/12 1:56
14,1,校一等奖学金,2016——2017学年 北京体育大学校一等奖学金,public/img/stu/1/honour/1_7e2c22ca.png,校级,Dec-17,2019/9/12 1:59
15,23,寒假社会实践积极分子,,public/img/stu/23/honour/23_d6c83b2c.jpeg,校级,May-17,2019/9/12 2:01
16,23,优秀团员,,public/img/stu/23/honour/23_bbc97545.jpeg,校级,May-17,2019/9/12 2:02
17,21,奖学金,,public/img/stu/21/honour/21_dbaec273.jpeg,院级,Mar-17,2019/9/12 2:02
18,23,优秀学生干部,,public/img/stu/23/honour/23_9a5c3488.jpeg,校级,Nov-17,2019/9/12 2:02
19,1,校三好学生,2017——2018学年 北京体育大学校三好学生,public/img/stu/1/honour/1_0c334569.png,校级,Oct-18,2019/9/12 2:03
20,23,暑假社会实践积极分子,,public/img/stu/23/honour/23_323bf090.jpeg,校级,Dec-17,2019/9/12 2:03
21,23,模范团干部,,public/img/stu/23/honour/23_6660299b.jpeg,校级,May-18,2019/9/12 2:04
22,23,三好学生,,public/img/stu/23/honour/23_b8ca9ba2.png,院级,Dec-17,2019/9/12 2:06
23,20,园冶杯,第十届“园冶杯”国际大学生竞赛课程设计类作品荣誉奖,public/img/stu/20/honour/20_d86f6ecb.jpeg,省市级,Aug-19,2019/9/12 2:07
24,24,国家励志奖学金,,public/img/stu/24/honour/24_e57f0ba6.jpeg,国家级,Dec-18,2019/9/12 2:11
25,24,校‘三好学生’,,public/img/stu/24/honour/24_17556cc1.jpeg,校级,Dec-18,2019/9/12 2:11
26,24,《大学英语》单科竞赛,,public/img/stu/24/honour/24_35836813.jpeg,校级,Oct-18,2019/9/12 2:12
27,24,Spelling Bee单词拼写,,public/img/stu/24/honour/24_0d3e9d9b.jpeg,校级,Dec-17,2019/9/12 2:13
29,1,阅读大赛三等奖,017年 “外研社杯”全国英语阅读大赛初赛三等奖,public/img/stu/1/honour/1_5ad06418.png,国家级,Nov-17,2019/9/12 2:14
30,24,校二等奖学金,,public/img/stu/24/honour/24_fa8fff7c.jpeg,院级,Dec-17,2019/9/12 2:15
32,24,校三好学生,,public/img/stu/24/honour/24_c8ccdbb1.jpeg,校级,Dec-17,2019/9/12 2:20
33,24,微专业优学员,网易数据分析师微专业优秀学员微专业,public/img/stu/24/honour/24_601893aa.jpeg,其他,May-19,2019/9/12 2:24
