,uid,score
0,9,0.0
1,11,75.79
2,14,0.0
3,17,0.0
4,24,81.8
5,25,72.23
6,28,93.8
7,32,66.8
8,33,77.75
9,40,0.0
10,41,85.76
11,43,62.31
12,44,83.88
13,49,78.14
14,52,74.33
15,54,86.4
16,57,0.0
17,60,84.0
18,64,90.11
19,65,93.1
20,66,0.0
21,68,89.05
22,70,0.0
23,74,82.0
24,81,77.15
25,83,72.5
26,85,0.0
27,89,86.45
28,99,85.63
29,101,0.0
30,107,74.77
31,111,71.8
32,112,82.96
33,115,84.44
34,117,90.0
35,119,0.0
36,126,64.06
37,133,0.0
38,134,0.0
39,136,80.12
40,140,90.25
41,154,0.0
42,157,0.0
43,159,79.45
44,174,90.26
45,176,74.86
46,178,90.0
47,188,89.78
48,196,0.0
49,197,90.5
50,203,78.88
51,206,82.8
52,209,87.86
53,211,68.0
54,215,87.82
55,220,83.13
56,221,0.0
57,225,83.0
58,227,86.5
59,228,90.8
60,229,83.75
61,230,90.71
62,232,89.35
63,233,80.08
64,235,85.58
65,237,88.49
66,245,28.0
67,254,78.35
68,265,86.7
69,266,83.69
70,267,86.07
71,276,88.66
72,281,85.38
73,282,88.62
74,286,83.0
75,291,85.99
76,294,88.57
77,300,89.05
78,301,77.0
79,303,0.0
80,304,81.0
81,308,77.89
82,310,77.15
83,316,89.71
84,320,0.0
85,322,0.0
86,325,95.0
87,332,90.27
88,334,85.38
89,341,90.1
90,343,87.19
91,348,83.05
92,351,0.0
93,352,90.2
94,354,83.2
95,356,82.95
96,361,75.45
97,362,72.0
98,366,81.78
99,370,91.57
100,376,90.29
101,381,89.5
102,382,92.77
103,383,72.26
104,386,92.45
105,387,88.47
106,390,0.0
107,396,91.32
108,397,87.0
109,405,88.08
110,412,52.65
111,413,89.36
112,414,78.43
113,416,0.0
114,426,93.0
115,428,88.09
116,429,0.0
117,430,0.0
118,431,90.67
119,432,95.0
120,433,87.63
121,439,90.72
122,442,78.25
123,444,87.76
124,446,0.0
125,447,88.92
126,451,86.57
127,460,88.43
128,472,87.75
129,477,87.95
130,492,0.0
131,496,87.48
132,498,88.0
133,500,73.52
134,501,88.29
135,507,84.71
136,508,91.14
137,512,0.0
138,513,0.0
139,514,92.0
140,520,0.0
141,528,88.36
142,529,88.45
143,530,91.77
144,533,89.73
145,538,0.0
146,541,92.0
147,542,93.0
148,544,86.3
149,546,93.5
150,551,0.0
151,553,0.0
152,554,82.85
153,555,86.78
154,556,78.85
155,559,83.76
156,560,1.0
157,571,89.29
158,572,85.7
159,574,85.95
160,579,86.8
161,580,0.0
162,582,0.0
163,583,88.9
164,585,79.6
165,589,0.0
166,590,90.32
167,596,74.16
168,597,86.63
169,599,77.76
170,602,80.0
171,603,85.7333
172,605,0.0
173,607,92.43
174,609,83.28
175,612,79.44
176,617,82.1
177,618,77.15
178,619,83.64
179,621,0.0
180,623,89.55
181,624,77.25
182,625,76.2
183,626,95.0
184,631,0.0
185,634,82.16
186,636,94.3
187,637,86.35
188,638,70.14
189,643,80.79
190,644,56.8
191,645,23.52
192,648,87.55
193,649,85.77
194,650,86.81
195,656,87.2
196,658,80.9
197,659,88.52
198,660,89.6
199,663,82.65
200,666,88.04
201,668,82.76
202,670,0.0
203,671,0.0
204,672,0.0
205,675,91.47
206,677,77.2
207,682,88.34
208,686,90.4
209,687,92.09
210,688,86.15
211,690,85.98
212,693,0.0
213,694,80.97
214,695,85.3
215,697,0.0
216,698,91.59
217,700,88.63
218,701,91.14
219,703,84.96
220,704,92.5
221,705,86.96
222,708,90.12
223,709,78.5
224,711,87.57
225,713,87.4
226,714,89.84
227,716,79.9
228,717,83.2667
229,718,86.75
230,719,79.56
231,721,87.7
232,723,92.15
233,726,88.25
234,727,82.0
235,736,96.0
236,737,86.0
237,738,75.51
238,739,83.13
239,740,87.62
240,741,90.05
241,742,90.48
242,743,83.55
243,746,92.0
244,748,88.27
245,750,92.95
246,751,91.29
247,752,87.5
248,754,91.68
249,759,89.17
250,760,84.76
251,768,76.8
252,769,79.33
253,772,79.74
254,778,73.8
255,785,81.91
256,788,84.95
257,789,280.0
258,793,85.0133
259,797,71.46
260,802,0.0
261,804,92.0
262,806,88.52
263,808,96.0
264,810,86.05
265,812,0.0
266,815,87.45
267,817,88.65
268,824,0.0
269,827,95.3
270,828,84.38
271,837,85.99
272,838,82.65
273,849,83.6
274,855,83.88
275,858,75.14
276,860,90.0
277,864,93.75
278,868,86.85
279,869,90.14
280,872,0.0
281,877,91.29
282,879,84.79
283,881,88.0
284,883,84.9
285,884,0.0
286,885,79.9
287,890,86.35
288,891,80.69
289,892,0.0
290,897,86.2
291,899,88.81
292,900,92.75
293,902,0.0
294,903,87.05
295,904,89.86
296,907,76.35
297,909,83.8
298,913,0.0
299,918,84.24
300,920,85.6
301,922,88.57
302,924,76.2
303,925,84.45
304,926,87.67
305,928,87.88
306,931,81.34
307,933,82.84
308,934,90.48
309,935,72.71
310,936,87.63
311,937,77.35
312,942,0.0
313,943,87.89
314,946,89.0
315,947,82.88
316,949,0.0
317,950,87.0
318,952,82.66
319,954,85.8
320,955,88.06
321,956,86.73
322,957,0.0
323,958,80.01
324,959,85.0
325,960,76.1
326,961,82.07
327,962,77.86
328,963,65.56
329,964,85.94
330,965,74.11
331,966,90.3
332,967,84.38
333,968,73.39
334,971,85.14
335,972,87.03
336,973,78.56
337,975,79.86
338,976,84.87
339,977,80.41
340,978,88.1
341,979,89.26
342,980,82.56
343,981,88.46
344,982,76.86
345,983,75.06
346,985,77.87
347,986,77.49
348,987,80.4
349,988,90.93
350,989,80.91
351,990,74.7
352,992,86.26
353,994,88.45
354,995,77.6
355,996,93.03
356,997,74.51
357,998,84.68
358,999,87.9
359,1000,83.77
360,1002,79.03
361,1003,87.9
362,1004,75.17
363,1005,90.66
364,1007,83.53
365,1008,88.45
366,1009,84.96
367,1010,81.71
368,1011,84.36
369,1012,61.6
370,1014,83.93
371,1015,79.84
372,1016,85.81
373,1019,78.59
374,1020,87.97
375,1022,82.69
376,1023,89.1
377,1024,77.99
378,1026,89.51
379,1027,78.07
380,1029,93.0
381,1033,81.93
382,1034,87.2
383,1035,87.45
384,1036,78.71
385,1038,79.9
386,1039,67.24
387,1042,90.09
388,1043,86.63
389,1044,78.47
390,1046,0.0
391,1047,78.7
392,1048,88.03
393,1049,89.29
394,1050,83.1
395,1051,91.0
396,1052,88.87
397,1053,90.31
398,1054,87.58
399,1055,80.86
400,1057,94.0
401,1058,0.0
402,1060,83.51
403,1061,93.3
404,1062,78.5
405,1064,73.44
406,1065,89.0
407,1066,0.0
408,1068,89.23
409,1071,0.0
410,1076,70.83
411,1078,90.7
412,1080,80.96
413,1083,81.45
414,1085,85.0
415,1089,89.57
416,1092,77.24
417,1093,79.51
418,1094,92.7
419,1095,86.36
420,1096,86.17
421,1097,0.0
422,1098,79.5
423,1100,84.0
424,1101,87.38
425,1102,79.44
426,1105,79.0
427,1110,82.47
428,1116,69.66
429,1117,91.07
430,1119,85.4
431,1122,80.0
432,1125,76.3
433,1128,85.19
434,1130,82.68
435,1132,83.87
436,1136,0.0
437,1137,79.45
438,1138,79.78
439,1142,0.0
440,1145,84.73
441,1147,75.06
442,1149,88.4
443,1152,90.09
444,1153,87.9
445,1156,89.54
446,1158,89.33
447,1160,82.26
448,1164,91.77
449,1169,79.0
450,1171,0.0
451,1172,94.0
452,1180,92.75
453,10000,82.65
454,10001,87.2
