id,course1,marker1,course2,marker2,course3,marker3,course4,marker4,total
9,0,,0,,0,,0,王兰、侯澎、张英、张洋,0
11,69,无,86,无,0,无,68.93,无,75.79
14,0,孙淼、王毅、张盼、李馨、王,0,孙淼、王毅、张盼、李馨、王,0,孙淼、王毅、张盼、李馨、王,0,孙淼、王毅、张盼、李馨、王,0
17,0,,0,,0,,0,,0
24,0,无,18,李冬,25.47,杨刚 孟伟 张海燕 淮永,38.33,孟伟 张海燕 淮永,81.8
25,63,无,78,无,0,无,79.14,无,72.23
28,38.4,胡冬,0,胡冬,17.8,张金凤,37.6,李莉,93.8
32,53,无,72,无,0,无,84,无,66.8
33,32,孙世瑕,8,项晶茹,8,项晶茹,29.75,金宇宇,77.75
40,0,无,0,无,0,无,0,温舟、张晨、李强、贺超、米锋、姜艳、吴源,0
41,74,丁梁,0,丁梁,92.8,丁梁,94,丁梁,85.76
43,44,无,70,无,0,无,83.57,无,62.31
44,74,丁梁,0,丁梁,88.6,丁梁,91.4,丁梁,83.88
49,77,无,76,无,0,无,84.71,无,78.14
52,67,无,78,无,0,无,81.64,无,74.33
54,22.2,阚江宇,21,李文彬,22.2,康峰,21,阚江宇,86.4
57,0,,0,,0,,0,,0
60,79,蔡军,79,蔡军,89,蔡军,90,蔡军,84
64,36.28,xx培育然科教师,18.2,xx培育然科教师,17.1,xx培育然科教师,18.52,xx培育然科教师,90.11
65,94,徐程毅、张新怡,94,徐程毅、李雷、樊大勇、张新怡,91.5,徐程毅、李雷、樊大勇、张新怡,92,徐程毅、李雷、樊大勇、张新怡,93.1
66,0,无,0,无,0,无,0,无,0
68,88.2,xx经理然科,88.5,xx经理然科,89.1,xx经理然科,90.4,xx经理然科,89.05
70,0,无,0,无,0,无,0,无,0
74,34,孙世瑕,9,项晶茹,8.5,项晶茹,30.5,金宇宇,82
81,34.4,孙世瑕,6,项晶茹,8,项晶茹,28.75,金宇宇,77.15
83,62,无,78,无,0,无,82.5,无,72.5
85,0,,0,无,0,无,0,无,0
89,0,无,0,无,0,无,86.45,张毅等,86.45
99,0,,0,,0,,85.63,王兰、侯澎、张英、张洋,85.63
101,0,无,0,无,0,无,0,无,0
107,0,无,0,无,77.2,无,74.17,无,74.77
111,0,无,23,李冬,18.13,杨刚 齐凯 李巨虎 赵方,30.67,齐凯 李巨虎 赵方,71.8
112,68,丁梁,0,丁梁,91.2,丁梁,93.8,丁梁,82.96
115,86.8,xx然科,83,xx然科,83.8,xx然科,84.8,xx然科,84.44
117,87,蔡军,87,蔡军,92,蔡军,92,蔡军,90
119,0,无,0,无,0,无,0,"田治强 张岩	王炜	周欣	李颖	孙凤	何玥",0
126,49,无,75,无,0,无,72.29,无,64.06
133,0,无,0,无,0,无,0,无,0
134,0,无,0,无,0,无,0,吴源，温舟，张晨，李强，姜艳,0
136,60,石娟、徐晗,91.1,x保教师,96.5,陶静、刘红莉,93,x保教师,80.12
