,uid,level,SSDM
0,1.0,2,11.0
1,1037.0,2,11.0
2,2.0,1,35.0
3,93.0,1,35.0
4,196.0,1,35.0
5,215.0,1,35.0
6,282.0,1,35.0
7,288.0,1,35.0
8,322.0,1,35.0
9,383.0,1,35.0
10,461.0,1,35.0
11,553.0,1,35.0
12,581.0,1,35.0
13,3.0,2,51.0
14,20.0,2,51.0
15,153.0,2,51.0
16,169.0,2,51.0
17,212.0,2,51.0
18,213.0,2,51.0
19,273.0,2,51.0
20,400.0,2,51.0
21,587.0,2,51.0
22,670.0,2,51.0
23,675.0,2,51.0
24,714.0,2,51.0
25,729.0,2,51.0
26,820.0,2,51.0
27,841.0,2,51.0
28,865.0,2,51.0
29,902.0,2,51.0
30,1136.0,2,51.0
31,1175.0,2,51.0
32,5.0,1,13.0
33,36.0,1,13.0
34,66.0,1,13.0
35,86.0,1,13.0
36,149.0,1,13.0
37,170.0,1,13.0
38,260.0,1,13.0
39,477.0,1,13.0
40,628.0,1,13.0
41,862.0,1,13.0
42,6.0,1,34.0
43,89.0,1,34.0
44,126.0,1,34.0
45,136.0,1,34.0
46,333.0,1,34.0
47,441.0,1,34.0
48,447.0,1,34.0
49,556.0,1,34.0
50,599.0,1,34.0
51,728.0,1,34.0
52,740.0,1,34.0
53,1069.0,1,34.0
54,7.0,2,11.0
55,9.0,1,53.0
56,11.0,1,13.0
57,14.0,1,13.0
58,46.0,1,13.0
59,52.0,1,13.0
60,61.0,1,13.0
61,88.0,1,13.0
62,122.0,1,13.0
63,125.0,1,13.0
64,127.0,1,13.0
65,175.0,1,13.0
66,179.0,1,13.0
67,204.0,1,13.0
68,214.0,1,13.0
69,225.0,1,13.0
70,241.0,1,13.0
71,244.0,1,13.0
72,255.0,1,13.0
73,256.0,1,13.0
74,281.0,1,13.0
75,293.0,1,13.0
76,307.0,1,13.0
77,313.0,1,13.0
78,316.0,1,13.0
79,325.0,1,13.0
80,332.0,1,13.0
81,348.0,1,13.0
82,368.0,1,13.0
83,375.0,1,13.0
84,414.0,1,13.0
85,424.0,1,13.0
86,438.0,1,13.0
87,448.0,1,13.0
88,455.0,1,13.0
89,479.0,1,13.0
90,528.0,1,13.0
91,537.0,1,13.0
92,582.0,1,13.0
93,600.0,1,13.0
94,638.0,1,13.0
95,679.0,1,13.0
96,688.0,1,13.0
97,711.0,1,13.0
98,749.0,1,13.0
99,751.0,1,13.0
100,867.0,1,13.0
101,1059.0,1,13.0
102,1147.0,1,13.0
103,12.0,2,32.0
104,31.0,2,32.0
105,70.0,2,32.0
106,145.0,2,32.0
107,392.0,2,32.0
108,408.0,2,32.0
109,570.0,2,32.0
110,624.0,2,32.0
111,13.0,1,13.0
112,99.0,1,13.0
113,147.0,1,13.0
114,242.0,1,13.0
115,243.0,1,13.0
116,259.0,1,13.0
117,263.0,1,13.0
118,301.0,1,13.0
119,309.0,1,13.0
120,326.0,1,13.0
121,380.0,1,13.0
122,394.0,1,13.0
123,404.0,1,13.0
124,491.0,1,13.0
125,15.0,1,41.0
126,30.0,1,41.0
127,470.0,1,41.0
128,16.0,1,13.0
129,47.0,1,13.0
130,77.0,1,13.0
131,124.0,1,13.0
132,146.0,1,13.0
133,154.0,1,13.0
134,191.0,1,13.0
135,206.0,1,13.0
136,211.0,1,13.0
137,257.0,1,13.0
138,295.0,1,13.0
139,298.0,1,13.0
140,302.0,1,13.0
141,357.0,1,13.0
142,361.0,1,13.0
143,364.0,1,13.0
144,366.0,1,13.0
145,367.0,1,13.0
146,415.0,1,13.0
147,426.0,1,13.0
148,499.0,1,13.0
149,503.0,1,13.0
150,525.0,1,13.0
151,539.0,1,13.0
152,572.0,1,13.0
153,593.0,1,13.0
154,761.0,1,13.0
155,884.0,1,13.0
156,887.0,1,13.0
157,905.0,1,13.0
158,923.0,1,13.0
