,uid,project
0,1.0,nannannan
1,2.0,陪着你公益平台从项目立项到项目后期，项目组成员进行了对接测试、家长教师访谈和专业机构咨询这三样主要活动。国家级
2,3.0,nannannan
3,5.0,浅析国产科幻电影《流浪地球》火爆原因在《卷宗》期刊上发表一篇题目为《浅析国产科幻电影火爆原因》的论文，于2019年第04月（上）期刊用。省市级
4,5.0,资产证券化优缺点及我国发展趋势分析在《创业圈.大经贸》期刊上发表一篇题目为《资产证券化优缺点及我国发展趋势分析》的论文，于2019年06月刊用。省市级
5,5.0,魅力张家口之2022年冬奥会给张家口带来的变化调研形成一篇调研报告并获得优秀团队奖其他
6,6.0,nannannan
7,7.0,nannannan
8,9.0,大学生创新项目校级立项nannan
9,9.0,云南民族大学暑期科研校级立项调查报告其他
10,11.0, 室内生态绿墙适宜植物筛选研究 适宜室内绿墙应用的观叶植物筛选.河北农业科学室内环境下5种绿墙植物的生长表现及叶绿素含量.南方农业省市级
11,12.0,nannannan
12,13.0,2019年调研河北社会调查活动立项省市级
13,14.0,餐厨垃圾资源化处理器在《现代农村科技》上发表“餐厨垃圾资源化处理器设计”。校科协科普创意作品大赛二等奖。其他
14,14.0,河北农业大学2018年大学生和青年教师三下乡社会实践大学生和青年教师暑期“三下乡”社会实践活动“先进个人”其他
15,15.0,《人力资源管理操作实务》《人力资源管理操作实务》章节案例其他
16,16.0,nannannan
17,18.0,nannannan
18,19.0,nannannan
19,20.0,nannannan
20,21.0,nannannan
21,22.0,nannannan
22,23.0,院级大学生创新训练项目结项证书其他
23,24.0,基于TensorFlow框架的神经网络猫狗分类器实现使用CNN成功实现图片的分类其他
24,24.0,基于QGIS的城市餐饮店铺选址分析与可视化，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。其他
25,24.0,房价影响因素挖掘看出上海房价市场的“中心城区-郊区”分化特征。其他
26,24.0,信用卡欺诈检测 可以提供的信息检测出信用卡是否存在欺诈嫌疑其他
27,24.0,电商打折套路解析发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天其他
28,25.0,nannannan
29,26.0,乡村振兴战略下农村零售企业社会责任影响因素研究未结项国家级
30,27.0,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究nannan
31,28.0,nannannan
32,29.0,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他
33,29.0,厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他
34,30.0,nannannan
35,31.0,江苏省古树名木时空分布与文化价值研究完成一作论文《江苏省不同区域古树名木分布特点研究》（《中国园林》杂志专家审核）和三作论文《江苏省文化树种认知情况及园林应用》（江苏农业科技）杂志已收稿）。省市级
36,31.0,江苏省文化树种认知情况及园林应用论文撰写完成一篇三作论文，已被《江苏农业科技》收稿。省市级
37,32.0,nannannan
38,33.0,基于角色扮演类网络游戏的大学生自我认同建构一篇关于《基于角色扮演类网络游戏的大学生自我认同建构》的论文。其他
39,34.0,nannannan
40,35.0,城市双修背景下地域文化景观的保护与开发研究项目还在进行中其他
41,36.0,nannannan
42,37.0,快递纸盒的纸艺创新设计研究一套纸艺创新得快递盒其他
43,38.0,nannannan
44,39.0,nannannan
45,40.0,河南省教育厅人文社科项目(编号: 2017-ZZJH-232)《基于奶牛繁殖规律的奶业生产周期性波动分析》发表于《河南畜牧兽医》省市级
46,41.0,陕北黄土区不同微地形土壤养分特征研究这些结果表明黄土高原生态恢复区的土壤水分分布高度依赖于恢复措施和微地形种类。因此，在进行黄土高原的生态环境构建时应充分利用不同微地形的水分优势，力求高效利用水分的同时做到不超额、不过载，有意识的避免深层土壤干层的恶化。国家级
47,41.0,陕北黄土区林分结构与微地形对深层土壤水分影响研究项目优秀结题；以第一作者发表论文《封育和造林对陕北黄土坡面微地形0-10m土层土壤水分的影响》国家级
48,42.0,《景观再生：基于景观生态学理论的生活垃圾填埋场景观以第一作者投稿的论文《景观再生：基于景观生态学理论的生活垃圾填埋场景观修复设计研究》入选2019“生态智慧与城乡生态实践”同济-吉建大论坛，得到了参加学术会议并现场壁报展示交流的机会，在论文中引入了所学景观生态学相关理论，锻炼了我的前期分析、文献整理、论文编辑国家级
49,43.0,校级大学生创新创业训练计划项目发表中文核心期刊论文一篇（第一作者）其他
50,43.0,国家级大学生创新创业训练计划项目发表中文核心期刊论文一篇（第四作者）国家级
51,44.0,草甘膦施加对土壤酶、微生物和有机碳的影响施加不同浓度草甘膦对薄壳山核桃土壤中酶活性、微生物数量及有机碳会产生一定影响，在15天左右土壤会恢复正常。随着草甘膦浓度增加，对土壤微生物活性、酶、有机碳抑制作用更明显。其他
52,46.0,森语树洞文化运营工作室获得校级立项其他
53,46.0,红色旅游地发展乡村旅游推进乡村振兴的调查研究获得河北省调研二等奖省市级
54,47.0,nannannan
55,48.0,单词识记类App对大学生英语词汇量的影响①评测发现，大部分识记单词App都是随机出词，未标明是核心或非核心词汇，词汇分级不明显。建议单词背诵循序渐进，由基础到核心，最后学习非核心等低频词汇，使英语学习更高效和有针对性。②同形异义词的区分不严谨，所评测的APP中仅有两个有表明区别。其他
56,49.0,杨凌农业文化遗址资源遗产的整理研究（1） 总结整理了部分杨凌农业文化遗产名录，将遗产地样本区分为核心区和非核心区，探讨不同区域居民评估意见的区域差异，并对其进行了较为科学的价值评估。（2） 发表论文一篇，题目为《杨凌农业文化遗产的非使用价值支付意愿》其他
57,49.0,陕西省合阳县南社村秋千技艺研究及其文化产品开发1.在国家一级期刊《城乡建设》发表论文一篇，文章名为《基于文化创意角度的旅游产品开发设想——以合阳县为例》2.已设计出秋千谷景区吉祥物和包括创意文具、益智玩具的多种产品模型，其中“秋千节气”系列文具产品已在南社村和西北农林科技大学小范围试售，销售业绩良好。省市级
58,50.0,《不同光强和光质下草地早熟禾生理代谢的日节律变化》2017年大学生创新创业训练计划作为校级重点项目结题其他
59,50.0,《面对作物需求的智能变量追肥机的研制》2018年大学生创新创业训练计划校级重点项目结题其他
60,50.0,《基于质谱技术的两种委陵菜药理成分分析》2019年大学生创新创业训练计划校级重点项目，作为队长，项目正在开展，现已推荐至省级。省市级
61,50.0,“呵护童心梦想，助力雏鹰飞翔”教育帮扶实践团大学生三下乡社会实践校一等奖其他
62,50.0,《“不忘初心，回顾东农70载发展之路”专题项目团》大学生三下乡社会实践校三等奖其他
63,50.0,“寻找唤醒城市的人”项目团队第二届东北农业大学青年志愿者服务项目大赛金奖其他
64,50.0,“行动你我，绿及八荒”绿色志愿服务项目第三届东北农业大学青年志愿服务项目大赛银奖其他
65,51.0,nannannan
66,52.0,老龄化背景下老年人活动空间研究以省级论文形式结项其他
67,53.0,nannannan
68,54.0,nannannan
69,55.0,“深圳市建成区植物调查”课题1.深圳市建成区植物调查2018年进展报告2.深圳建成区植物调查指标体系3.深圳市建成区植物观赏效果图谱4.深圳市建成区植物群落图谱等省市级
70,55.0,论文《浅谈园林废弃物的生态处理及资源化利用》无省市级
71,56.0,nannannan
72,57.0,胡杨快繁技术的研究1.70%酒精20s和0.1%Hgcl5min为最佳消毒时间。 2.MS+0.1mg/l6-BA+0.05mg/l IAA促进丛生芽的形成且生长最佳。 3.1/2MS+0.2mg/l IAA 对促进生根最佳省市级
73,58.0,nannannan
74,60.0,nannannan
75,61.0,nannannan
76,62.0,nannannan
77,63.0,nannannan
78,64.0,转BpCCR及BpGH3.5基因白桦优良株系选择在北京林业大学学报上以第一作者的身份发表论文《转BpGH3.5基因白桦优良株系选择》一篇。国家级
79,65.0,mRNA 的纯化方法对文库质量的影响第三作者身份在期刊《分子植物育种》中发表题为“mRNA的纯化方法对文库质量的影响”的文章。其他
80,65.0,白桦木质部原生质体制备反应体系研究nannan
81,66.0,《我国农产品现状、问题及建议》发表论文其他
82,67.0,nannannan
83,68.0,nannannan
84,70.0,江苏省古树名木时空分布与文化价值研究《江苏省文化树种认知情况及园林应用》（第一作者）已被《江苏农业科学》录用《江苏省不同区域古树名木分布特点研究》（第三作者）处于投稿阶段省市级
85,71.0,《黑龙江省4种野生委陵菜抗旱性的比较研究》发表中文核心期刊《北方园艺》（已录用，待见刊）国家级
86,71.0,《黑龙江省野生委陵菜资源收集及其抗逆性评价》仍在进行，目前被立为省级创新训练项目。省市级
87,71.0,《密闭花卉工艺品产业化--格林屋有限责任公司》仍在进行，目前被立为省级创业训练项目。省市级
88,72.0,nannannan
89,73.0,nannannan
90,74.0,中国青少年外部依存性自尊的测量、发展及其作用机制顺利结项并获得“良好”的成绩，并于2018年参与发表了两篇中国心理学会第二十一届全国心理学学术会议的口头报告的文章。另有一篇文章获得了京师杯三等奖。其他
91,75.0,nannannan
92,76.0,nannannan
93,77.0,nannannan
