,uid,honour
0,1.0,国家奖学金2017—2018学年 国家奖学金国家级
1,1.0,校一等奖学金2016——2017学年 北京体育大学校一等奖学金校级
2,1.0,校三好学生2017——2018学年 北京体育大学校三好学生校级
3,1.0,阅读大赛三等奖017年 “外研社杯”全国英语阅读大赛初赛三等奖国家级
4,2.0,二等奖学金2016-2017学年福建农林大学优秀学生二等奖学金校级
5,2.0,省“创青春”铜奖2017-2018学年福建省“创青春”大学生创业大赛公益创业赛铜奖（第一负责人）省市级
6,2.0,福建省三创赛二等奖2018-2019学年福建省大学生电子商务“创新、创意及创业”挑战赛二等奖（第一负责人）省市级
7,2.0,高校商业精英挑战赛2017-2018学年全国高校商业精英挑战赛“启课程杯”会计与商业管理案例竞赛三等奖（第四负责人）国家级
8,2.0,大学生英语竞赛获奖2017-2018学年全国大学生英语竞赛（NECCS）C类三等奖国家级
9,2.0,全国林业创新创业大赛2018-2019学年全国林业创新创业大赛优胜奖（第三负责人）国家级
10,2.0,服创赛三等奖2018-2019学年中国大学生服务外包创新创业大赛三等奖（第二负责人）国家级
11,2.0,软件著作权软件著作权成果《基于区块链分布式记账的财务管理系统》其他
12,3.0,2017-2018学年度国家nan省市级
13,3.0,2017-2018学年度优秀nan校级
14,3.0,2018-2019学年度优秀nan校级
15,3.0,2018年暑期社会实践院nan院级
16,5.0,计算机二级nan国家级
17,5.0,“世纪之星”英语阅读非专业组三等奖校级
18,5.0,金融科技创新能力大赛“京津冀高校金融科技创新能力大赛暨全国大学生金融科技创新能力大赛京津冀地区选拔赛” 优秀团队奖省市级
19,5.0,证券从业资格证科目一国家级
20,5.0,期货从业资格证nan国家级
21,5.0,高中数学教师资格证成绩合格证明国家级
22,6.0,园冶杯大学生国际竞赛“园冶杯”大学生国际竞赛提名奖国家级
23,6.0,计算机设计大赛计算机设计大赛环境设计类国家三等奖国家级
24,6.0,百万同题英语写作大赛“百万同题”英语写作大赛优秀作品奖国家级
25,6.0,英文写作大赛安徽农业大学英文写作大赛优秀奖校级
26,6.0,互联网+“互联网+”大学生创新创业比赛校级三等奖校级
27,6.0,专业特等奖学金nan校级
28,6.0,职场模拟面试大赛“校友杯”职场模拟面试大赛二等奖院级
29,6.0,兴林杯大学生创客大赛“兴林杯”大学生创客大赛一等奖院级
30,6.0,三好学生nan校级
31,6.0,优秀共青团干部nan校级
32,6.0,优秀共青团员nan校级
33,7.0,nannannan
34,9.0,全国大学生数学建模国家级本科组二等奖国家级
35,9.0,全国大学生英语竞赛c类三等奖国家级
36,9.0,挑战杯学术科技竞赛省赛三等奖省市级
37,9.0,云南省政府奖学金nan省市级
38,9.0,外研社写作大赛一等奖nan校级
39,9.0,云南民族大学三好学生nan校级
40,9.0,学术科技奖学金nan校级
41,11.0,中国青年旅游创意设计第一届中国青年旅游创意设计大赛文化旅游产品创意设计类三等奖。将威海地区的珍贵的水鸟为原型，设计符合大众审美的旅游吉祥物及其衍生文创品省市级
42,11.0,创青春创业大赛nan校级
43,11.0,园林绿化快速设计大赛一等奖院级
44,11.0,园林院楼宇设计大赛一等奖院级
45,11.0,药石之言主题快速设计优秀奖院级
46,11.0,清西陵写生优秀作品nan院级
47,11.0,三下乡优秀个人nan校级
48,11.0,校三好学生nan校级
49,11.0,一等奖学金nan校级
50,11.0,优秀共青团员nan校级
51,11.0,社会活动优秀奖nan校级
52,12.0,土地规划利用大赛全国大学生土地利用规划技能大赛二等奖国家级
53,12.0,足球场规划利用大赛南京农业大学足球场规划利用大赛一等奖校级
54,12.0,植物电子地图制作大赛南京农业大学植物电子地图制作大赛三等奖校级
55,12.0,优秀调研报告南京农业大学暑期三下乡社会实践优秀调研报告校级
56,12.0,优秀共青团员南京农业大学2016年度优秀共青团员校级
57,12.0,优秀志愿者南京农业大学园艺学院2018年度优秀志愿者院级
58,12.0,外观设计专利园林灯外观设计专利国家级
59,13.0,全国大学生英语竞赛C类二等奖其他
60,13.0,全国大学生数学建模河北赛区本科组一等奖省市级
61,13.0,全国大学生市调大赛河北赛区二等奖省市级
62,13.0,2019挑战杯河北赛区二等奖省市级
63,14.0,夏令营优秀营员北京林业大学环境科学与工程学院暑期夏令营其他
64,14.0,国家励志奖学金nan国家级
65,14.0,校一等奖学金nan校级
66,14.0,科普创意作品发明大赛nan校级
67,14.0,新媒体作品大赛nan校级
68,14.0,三好学生nan校级
69,14.0,社会活动优秀奖nan校级
70,14.0,优秀共青团员nan校级
71,14.0,大学生环保知识竞赛优秀奖国家级
72,15.0,奖学金、三好学生2019.04：河南工业大学三好学生2018.11：国家奖学金2018.11：河南工业大学第四届企业模拟经营（ERP沙盘）竞赛二等奖2018.06：河南省省级三好学生2018.04：河南工业大学三好学生2017.12：河南工业大学第二届“外语杯”专业竞赛二等奖2017.11：国家励志奖学金国家级
73,16.0,全国大学生英语竞赛C类全国三等奖国家级
74,16.0,河北大学奖学金nan校级
