college_id,college_name,staff_id,total_stu,free_stu,phone,staff_id_s
1,林学院,8001016,254,114,0,8001001
2,生物科学与技术学院,8002019,136,40,0,8002001
3,工学院,8003013,109,48,0,8003001
4,信息学院,8004005,86,15,0,8004001
5,材料学院,8005016,114,60,0,8005001
6,园林学院,8006007,244,109,0,8006001
7,经济管理学院,8007007,157,87,0,8007001
8,水土保持学院,8008032,172,56,0,8008001
9,自然保护区学院,8009017,46,22,0,8009001
10,人文社会科学学院,8010018,97,17,0,8010001
11,外语学院,8011026,43,20,0,8011001
12,理学院,8012019,12,4,0,8012001
13,环境科学与工程学院,8013014,82,34,0,8013001
14,艺术设计学院,8014035,64,27,0,8014001
15,马克思主义学院,8015008,15,5,0,8015001
