course_id,course_name,independence,cc
101,思想政治理论,-1,1月1日
111,单独考试思想政治理论,1,1月1日
199,管理类联考综合能力,-1,1月1日
201,英语一,-1,1月1日
202,俄语,-1,1月1日
203,日语,-1,1月1日
204,英语二,-1,1月1日
211,翻译硕士英语,1,1月1日
212,翻译硕士俄语,1,1月1日
213,翻译硕士日语,1,1月1日
214,翻译硕士法语,1,1月1日
215,翻译硕士德语,1,1月1日
216,翻译硕士朝鲜语,1,1月1日
217,翻译硕士西班牙语,1,1月1日
218,翻译硕士阿拉伯语,1,1月1日
219,翻译硕士泰语,1,1月1日
301,数学一,-1,1月1日
302,数学二,-1,1月1日
303,数学三,-1,1月1日
306,西医综合,-1,1月1日
307,中医综合,-1,1月1日
311,教育学专业基础综合,-1,1月1日
312,心理学专业基础综合,-1,1月1日
313,历史学基础,-1,1月1日
314,数学（农）,-1,1月1日
315,化学（农）,-1,1月1日
331,社会工作原理,1,1月1日
332,警务硕士专业基础,1,1月1日
333,教育综合,1,1月1日
334,新闻与传播专业综合能力,1,1月1日
335,出版综合素质与能力,1,1月1日
336,艺术基础,1,1月1日
337,“工业设计工程”领域考试科目,1,1月1日
338,生物化学,1,1月1日
339,农业知识综合一,1,1月1日
340,农业知识综合二,1,1月1日
341,农业知识综合三,1,1月1日
342,农业知识综合四,1,1月1日
343,兽医基础,1,1月1日
344,风景园林基础,1,1月1日
345,林业基础知识综合,1,1月1日
346,体育综合,1,1月1日
347,心理学专业综合,1,1月1日
348,文博综合,1,1月1日
349,药学综合,1,1月1日
350,中药专业基础综合,1,1月1日
351,“军事硕士”第三单元考试科目,1,1月1日
352,口腔综合,1,1月1日
353,卫生综合,1,1月1日
354,汉语基础,1,1月1日
355,建筑学基础,1,1月1日
356,城市规划基础,1,1月1日
357,英语翻译基础,1,1月1日
358,俄语翻译基础,1,1月1日
359,日语翻译基础,1,1月1日
360,法语翻译基础,1,1月1日
361,德语翻译基础,1,1月1日
362,朝鲜语翻译基础,1,1月1日
363,西班牙语翻译基础,1,1月1日
364,阿拉伯语翻译基础,1,1月1日
365,泰语翻译基础,1,1月1日
396,经济类联考综合能力,-1,1月1日
397,法硕联考专业基础（法学）,-1,1月1日
398,法硕联考专业基础（非法学）,-1,1月1日
408,计算机学科专业基础综合,-1,1月1日
414,植物生理学与生物化学,-1,1月1日
415,动物生理学与生物化学,-1,1月1日
416,普通动物学与普通生态学,-1,1月1日
417,普通生态学与鱼类学,-1,1月1日
431,金融学综合,1,1月1日
432,统计学,1,1月1日
433,税务专业基础,1,1月1日
434,国际商务专业基础,1,1月1日
435,保险专业基础,1,1月1日
436,资产评估专业基础,1,1月1日
437,社会工作实务,1,1月1日
438,警务硕士专业综合,1,1月1日
440,新闻与传播专业基础,1,1月1日
441,出版专业基础,1,1月1日
442,“军事硕士”第四单元考试科目、,1,1月1日
445,汉语国际教育基础,1,1月1日
446,城市规划设计,1,1月1日
447,城市规划相关知识,1,1月1日
448,汉语写作与百科知识,1,1月1日
497,法硕联考综合（法学）,-1,1月1日
498,法硕联考综合（非法学）,-1,1月1日
500,测试的科目1,1,
501,自主添加的学科,1,
502,自主添加1,1,
503,自主添加的科目,1,
504,自助添加的学科,1,
707,高等数学,1,
712,普通昆虫学,1,
715,数理统计,1,
720,植物病理学,1,
723,植物营养学,1,
806,测绘地理信息学,1,
815,生态学,1,
833,森林生态学,1,
843,土壤学,1,
851,植物生理学,1,
