id,name,relation1,relation2
1,哲学,,
101,哲学类,1,
10101,哲学,,101
10102,逻辑学,,101
010103K,宗教学,,101
010104T,伦理学,,101
2,经济学,,
201,经济学类,2,
20101,经济学,,201
20102,经济统计学,,201
020103T,国民经济管理,,201
020104T,资源与环境经济学,,201
020105T,商务经济学,,201
020106T,能源经济,,201
202,财政学类,2,
020201K,财政学,,202
20202,税收学,,202
203,金融学类,2,
020301K,金融学,,203
20302,金融工程,,203
20303,保险学,,203
20304,投资学,,203
020305T,金融数学,,203
020306T,信用管理,,203
020307T,经济与金融,,203
204,经济与贸易类,2,
20401,国际经济与贸易,,204
20402,贸易经济,,204
3,法学,,
301,法学类,3,
030101K,法学,,301
030102T,知识产权,,301
030103T,监狱学,,301
302,政治学类,3,
30201,政治学与行政学,,302
30202,国际政治,,302
30203,外交学,,302
030204T,国际事务与国际关系,,302
030205T,政治学、经济学与哲学,,302
303,社会学类,3,
30301,社会学,,303
30302,社会工作,,303
030303T,人类学,,303
030304T,女性学,,303
030305T,家政学,,303
304,民族学类,3,
30401,民族学,,304
305,马克思主义理论类,3,
30501,科学社会主义,,305
30502,中国共产党历史,,305
30503,思想政治教育,,305
306,公安学类,3,
030601K,治安学,,306
030602K,侦查学,,306
030603K,边防管理,,306
030604TK,禁毒学,,306
030605TK,警犬技术,,306
030606TK,经济犯罪侦查,,306
030607TK,边防指挥,,306
030608TK,消防指挥,,306
030609TK,警卫学,,306
030610TK,公安情报学,,306
030611TK,犯罪学,,306
030612TK,公安管理学,,306
030613TK,涉外警务,,306
030614TK,国内安全保卫,,306
030615TK,警务指挥与战术,,306
4,教育学,,
401,教育学类,4,
40101,教育学,,401
40102,科学教育,,401
40103,人文教育,,401
40104,教育技术学,,401
40105,艺术教育,,401
40106,学前教育,,401
40107,小学教育,,401
40108,特殊教育,,401
040109T,华文教育,,401
402,体育学类,4,
40201,体育教育,,402
040202K,运动训练,,402
40203,社会体育指导与管理,,402
040204K,武术与民族传统体育,,402
40205,运动人体科学,,402
040206T,运动康复,,402
040207T,休闲体育,,402
5,文学,,
501,中国语言文学类,5,
50101,汉语言文学,,501
50102,汉语言,,501
50103,汉语国际教育,,501
50104,中国少数民族语言文学,,501
50105,古典文献学,,501
050106T,应用语言学,,501
050107T,秘书学,,501
502,外国语言文学类,5,
50201,英语,,502
50202,俄语,,502
50203,德语,,502
50204,法语,,502
50205,西班牙语,,502
50206,阿拉伯语,,502
50207,日语,,502
50208,波斯语,,502
50209,朝鲜语,,502
50210,菲律宾语,,502
50211,梵语巴利语,,502
50212,印度尼西亚语,,502
50213,印地语,,502
50214,柬埔寨语,,502
50215,老挝语,,502
50216,缅甸语,,502
50217,马来语,,502
50218,蒙古语,,502
50219,僧伽罗语,,502
50220,泰语,,502
50221,乌尔都语,,502
50222,希伯来语,,502
50223,越南语,,502
50224,豪萨语,,502
50225,斯瓦希里语,,502
50226,阿尔巴尼亚语,,502
50227,保加利亚语,,502
50228,波兰语,,502
50229,捷克语,,502
50230,斯洛伐克语,,502
50231,罗马尼亚语,,502
50232,葡萄牙语,,502
50233,瑞典语,,502
50234,塞尔维亚语,,502
50235,土耳其语,,502
50236,希腊语,,502
50237,匈牙利语,,502
