university_id,university_name,is985,is211,freetest_qualified,SSDM,SSDMC
0,其他/无,,,,0,其他
10001,北京大学,1,1,1,11,北京市
10002,中国人民大学,1,1,1,11,北京市
10003,清华大学,1,1,1,11,北京市
10004,北京交通大学,,1,1,11,北京市
10005,北京工业大学,,1,1,11,北京市
10006,北京航空航天大学,1,1,1,11,北京市
10007,北京理工大学,1,1,1,11,北京市
10008,北京科技大学,,1,1,11,北京市
10009,北方工业大学,,,1,11,北京市
10010,北京化工大学,,1,1,11,北京市
10011,北京工商大学,,,1,11,北京市
10012,北京服装学院,,,1,11,北京市
10013,北京邮电大学,,1,1,11,北京市
10015,北京印刷学院 ,,,1,11,北京市
10016,北京建筑大学,,,1,11,北京市
10017,北京石油化工学院 ,,,1,11,北京市
10018,北京电子科技学院 ,,,1,11,北京市
10019,中国农业大学,1,1,1,11,北京市
10020,北京农学院 ,,,1,11,北京市
10022,北京林业大学,,1,1,11,北京市
10023,北京协和医学院(清华大学医学部),1,1,1,11,北京市
10025,首都医科大学,,1,1,11,北京市
10026,北京中医药大学,,1,1,11,北京市
10027,北京师范大学,1,1,1,11,北京市
10028,首都师范大学,,,1,11,北京市
10029,首都体育学院 ,,,1,11,北京市
10030,北京外国语大学,,1,1,11,北京市
10031,北京第二外国语学院 ,,,1,11,北京市
10032,北京语言大学,,,1,11,北京市
10033,中国传媒大学,,1,1,11,北京市
10034,中央财经大学,,1,1,11,北京市
10036,对外经济贸易大学,,1,1,11,北京市
10037,北京物资学院 ,,,1,11,北京市
10038,首都经济贸易大学,,,1,11,北京市
10040,外交学院,,,1,11,北京市
10041,中国人民公安大学,,,1,11,北京市
10042,国际关系学院,,,1,11,北京市
10043,北京体育大学,,1,1,11,北京市
10045,中央音乐学院,,1,1,11,北京市
10046,中国音乐学院 ,,,1,11,北京市
10047,?中央美术学院 ,,,1,11,北京市
10048,中央戏剧学院,,,1,11,北京市
10049,中国戏曲学院 ,,,1,11,北京市
10050,北京电影学院,,,1,11,北京市
10051,北京舞蹈学院 ,,,1,11,北京市
10052,中央民族大学,1,1,1,11,北京市
10053,中国政法大学,,1,1,11,北京市
10054,华北电力大学(北京),,1,1,11,北京市
10055,南开大学,1,1,1,12,天津市
10056,天津大学,1,1,1,12,天津市
10057,天津科技大学,,,1,12,天津市
10058,天津工业大学,,,1,12,天津市
10059,中国民航大学,,,1,12,天津市
10060,天津理工大学,,,1,12,天津市
10061,天津农学院 ,,,1,12,天津市
10062,天津医科大学,,1,1,12,天津市
10063,天津中医药大学,,,1,12,天津市
10065,天津师范大学,,,1,12,天津市
10066,天津职业技术大学 ,,,1,12,天津市
10068,天津外国语大学,,,1,12,天津市
10069,天津商业大学,,,1,12,天津市
10070,天津财经大学,,,1,12,天津市
10071,天津体育学院,,,1,12,天津市
10072,天津音乐学院 ,,,1,12,天津市
10073,天津美术学院 ,,,1,12,天津市
10075,河北大学,,,1,13,河北省
10076,河北工程大学,,,1,13,河北省
10077,河北地质大学 ,,,1,13,河北省
10078,华北水利水电大学,,,1,41,河南省
10079,华北电力大学(保定),,,1,13,河北省
10080,河北工业大学,,,1,13,河北省
10081,华北理工大学,,,1,13,河北省
10082,河北科技大学 ,,,1,13,河北省
10084,河北建筑工程学院,,,,13,河北省
10085,河北工程技术高等专科学校,,,,13,河北省
10086,河北农业大学,,,1,13,河北省
10089,河北医科大学,,,1,13,河北省
10092,河北北方学院,,,,13,河北省
10093,承德医学院 ,,,1,13,河北省
10094,河北师范大学,,,1,13,河北省
10096,保定学院,,,,13,河北省
10098,河北民族师范学院,,,,13,河北省
10099,唐山师范学院,,,,13,河北省
10100,廊坊师范学院,,,,13,河北省
10101,衡水学院,,,,13,河北省
10102,石家庄学院,,,,13,河北省
10103,邯郸学院,,,,13,河北省
10104,邢台学院,,,,13,河北省
10105,沧州师范学院,,,,13,河北省
10107,石家庄铁道大学,,,1,13,河北省
10108,山西大学,,,1,14,山西省
10109,太原科技大学,,,1,14,山西省
10110,中北大学,,,1,14,山西省
10112,太原理工大学,,1,1,14,山西省
10113,山西农业大学,,,1,14,山西省
10114,山西医科大学,,,1,14,山西省
10117,长治医学院 ,,,1,14,山西省
10118,山西师范大学,,,1,14,山西省
10119,太原师范学院 ,,,1,14,山西省
10120,山西大同大学,,,,14,山西省
10121,晋中学院,,,,14,山西省
10122,长治学院,,,,14,山西省
10123,运城学院,,,,14,山西省
10124,忻州师范学院,,,,14,山西省
10125,山西财经大学,,,1,14,山西省
10126,内蒙古大学,,1,1,15,内蒙古自治区
10127,内蒙古科技大学,,,1,15,内蒙古自治区
10128,内蒙古工业大学,,,1,15,内蒙古自治区
10129,内蒙古农业大学,,,1,15,内蒙古自治区
10132,内蒙古医科大学 ,,,1,15,内蒙古自治区
10135,内蒙古师范大学,,,1,15,内蒙古自治区
10136,内蒙古民族大学 ,,,1,15,内蒙古自治区
10138,赤峰学院 ,,,1,15,内蒙古自治区
10139,内蒙古财经大学 ,,,1,15,内蒙古自治区
10140,辽宁大学,,1,1,21,辽宁省
10141,大连理工大学,1,1,1,21,辽宁省
10142,沈阳工业大学,,,1,21,辽宁省
10143,沈阳航空航天大学,,,1,21,辽宁省
