id,famousUT,secondUT,CET4,CET6,value_cet4,value_cet6,time,subject_id
1,0,0,1,0,425,,2018/9/14 19:26,83000
2,0,0,1,0,425,,2018/9/14 19:26,85229
5,0,0,1,0,425,,2018/9/19 8:31,30500
6,0,0,0,0,,,2018/9/19 19:05,80201
7,0,0,0,0,,,2018/9/19 19:05,80202
8,0,0,0,0,,,2018/9/19 19:05,80203
9,0,0,0,0,,,2018/9/19 19:05,80204
10,0,0,0,0,,,2018/9/19 19:05,85201
16,0,0,0,0,,,2018/9/21 13:44,1305Z1
17,0,0,1,1,,425,2018/9/21 14:56,71007
22,0,0,1,0,425,,2018/9/21 17:25,82901
25,0,0,0,0,,,2018/9/22 7:39,82903
26,0,0,1,0,,,2018/9/22 15:23,70503
27,0,0,1,0,425,,2018/9/23 15:09,90703
