profession_id,profession_name,subject_id,college_id,staff_id
1,环境哲学,10100,10,0
1,金融学,20200,7,0
1,不分方向,25200,7,0
1,不分方向,25400,7,0
1,法学基础理论,30101,10,0
1,马克思主义基本原理,30500,15,8015019
1,临床与咨询心理学,40200,10,0
1,临床与咨询心理学,45400,10,0
1,语言学研究,50200,11,0
1,不分方向,55101,11,0
1,基础数学专业,70100,12,8012022
1,流域自然地理过程,70501,8,0
1,3S技术集成与开发应用,70503,1,0
1,3S技术集成开发与应用,70503,8,0
1,树木逆境生物学,71001,2,0
1,动物生殖生物学,71002,2,0
1,资源与环境微生物,71005,2,0
1,分子遗传学,71007,2,0
1,植物细胞分子生物学,71009,2,0
1,树木分子生物学,71010,2,0
1,生物大分子结构与功能,71011,12,0
1,系统生物学,0710Z2,2,0
1,森林生态学,71300,1,0
1,湿地水文与全球变化,0713Z4,9,0
1,机械测控与机器人技术,80201,3,0
1,机电系统控制及自动化,80202,3,0
1,现代设计与先进制造,80203,3,0
1,车辆运用与检测技术,80204,3,0
1,大数据技术与人工智能,81200,4,0
1,建筑设计及其理论,81300,6,0
1,混凝土结构与砌体结构,81402,8,0
1,森林工程装备及其自动化,82901,3,0
1,木材构造与物性,82902,5,0
1,生物质材料、能源与化学品,82903,5,0
1,林业空间信息技术,0829Z2,4,0
1,控制理论与应用,0829Z3,3,0
1,水环境污染控制与生态修复技术,83000,13,0
1,农林产品加工与贮运,83203,2,0
1,城乡规划与设计理论,83300,6,0
1,风景园林历史与理论,83400,6,8006021
1,不分方向,85201,3,0
1,不分方向,85210,3,0
1,不分方向,85211,4,0
1,不分方向,85212,4,0
1,木材科学与技术,85228,5,0
1,水污染控制与生态修复技术及工程,85229,13,0
1,土壤生态,90301,1,0
1,林木基因组与分子育种,90701,2,0
1,林木种苗培育理论与技术,90702,1,0
1,森林昆虫学,90703,1,0
1,森林经营理论与技术,90704,1,0
1,动植物系统分类及进化生物学,90705,9,0
1,流域治理,90707,8,0
1,自然保护区规划设计,0907Z1,9,0
1,不分方向,0907Z2,1,0
1,草坪科学与管理,90900,1,0
1,不分方向,95131,1,0
1,不分方向,95135,2,0
1,不分方向,95136,1,0
1,不分方向,95136,4,0
1,不分方向,95138,7,0
1,风景园林,95300,6,8006021
1,森林培育,95400,1,8001014
1,不分方向,95400,8,0
1,花卉种质创新与育种,97300,6,0
1,管理科学,120200,7,0
1,农业经济管理,120300,7,0
1,绿色行政,120401,7,0
1,绿色行政,120401,10,0
1,不分方向,125300,7,0
1,环境设计与理论,130500,14,8014038
1,动画艺术学,1305Z1,14,0
1,国画,135107,14,0
1,艺术设计研究与应用,135108,14,8014035
2,生态文化,10100,10,0
2,国际贸易学,20200,7,0
2,环境与资源保护法学,30101,10,0
2,马克思主义中国化研究,30500,15,8015010
2,生态与文化心理学,40200,10,0
2,儿童与心理健康,45400,10,0
2,应用语言学,50200,11,0
2,计算数学专业,70100,12,8012022
2,资源环境规划与管理,70501,8,0
2,地理信息基础与开发,70503,1,0
2,生态环境遥感,70503,8,0
2,树木生长发育及其调控,71001,2,0
2,动物分子生态学,71002,2,0
2,微生物生物技术,71005,2,0
2,细胞遗传学,71007,2,0
2,植物发育细胞生物学,71009,2,0
2,树木生物化学,71010,2,0
2,植物生理的物理过程,71011,12,0
2,恢复生态与生物多样性保护,71300,1,0
2,湿地植被恢复与重建,0713Z4,9,0
2,无损检测技术,80201,3,0
2,现代传感与检测技术,80202,3,0
2,现代检测与控制,80203,3,0
2,车辆系统研究与设计,80204,3,0
2,物联网与移动互联网技术,81200,4,0
2,建筑历史与理论,81300,6,0
2,钢木结构,81402,8,0
2,人机环境与安全,82901,3,0
2,木材热加工,82902,5,0
2,生物质炼制与清洁制浆,82903,5,0
2,林业智能系统与决策支持技术,0829Z2,4,0
2,林业智能检测与信号处理,0829Z3,3,0
2,生态环境新型污染物污染机制与控制,83000,13,0
2,天然产物与功能性食品,83203,2,0
2,城市绿地与景观生态规划,83300,6,0
2,风景园林规划与设计,83400,6,8006021
2,林产化学加工工程,85228,5,0
2,农林废弃物处置与资源化利用,85229,13,0
2,土壤资源与环境,90301,1,0
2,林木细胞遗传与细胞工程,90701,2,0
2,生态林与城市森林培育理论与技术,90702,1,0
2,林木病理学,90703,1,0
2,森林资源调查与监测,90704,1,0
2,野生动植物保护生物学,90705,9,0
2,林业生态工程,90707,8,0
2,自然保护区管理,0907Z1,9,0
2,高尔夫球场及运动场建设与管理,90900,1,0
2,园林植物,95300,6,8006024
2,城市林业,95400,1,8001040
2,花卉栽培与繁殖,97300,6,0
2,电子商务,120200,7,0
2,林业经济管理,120300,7,0
2,组织与人力资源管理,120401,7,0
2,组织与人力资源管理,120401,10,0
2,装饰艺术设计与理论,130500,14,8014009
2,油画,135107,14,0
2,动画与交互设计,135108,14,8014026
3,林业科学技术思想史,10100,10,0
3,统计学,20200,7,0
3,思想政治教育,30500,15,8015004
3,发展与教育心理学,40200,10,0
3,英语国家文学研究,50200,11,0
3,概率论与数理统计专业,70100,12,8012022
3,资源监测与信息化管理,70503,1,0
3,植物分类与系统演化,71001,2,0
3,动物行为学,71002,2,0
3,林木群体遗传学,71007,2,0
3,树木生物技术,71010,2,0
3,光与植物生理生态,71011,12,0
3,生态规划与管理,71300,1,0
3,湿地生物地球化学过程,0713Z4,9,0
3,现代制造工艺及自动化装备,80201,3,0
3,机器视觉及应用,80202,3,0
3,机构学与机器人,80203,3,0
3,软件工程理论与技术,81200,4,0
3,仿生结构与材料,81402,8,0
3,森林及其环境监测,82901,3,0
3,木材保护与改性,82902,5,0
3,二次纤维利用及造纸化学品,82903,5,0
3,林业信息处理技术,0829Z2,4,0
3,农林设备设施控制,0829Z3,3,0
3,废物资源化利用与土壤污染修复,83000,13,0
3,食品微生物与生物技术,83203,2,0
3,社区营造与遗产保护规划,83300,6,0
3,景观规划与生态修复,83400,6,8006021
3,土壤污染控制与生态修复,85229,13,0
3,土壤修复与健康,90301,1,0
3,森林遗传与树木改良,90701,2,0
3,用材与能源林培育理论与技术,90702,1,0
3,昆虫与菌物系统学,90703,1,0
3,森林生长收获与模型模拟,90704,1,0
3,动物生态学与行为学,90705,9,0
3,水土保持工程,90707,8,0
3,生物多样性保育,0907Z1,9,0
3,草地植物栽培与育种,90900,1,0
3,森林保护,95400,1,8001038
3,园林植物应用与园林生态,97300,6,0
3,会计学,120200,7,0
3,劳动与社会保障,120401,7,0
3,公共政策,120401,10,0
3,工业设计与理论,130500,14,8014035
3,综合造型,135107,14,0
4,中国近现代史基本问题研究,30500,15,8015009
4,英语国家社会与文化研究,50200,11,0
4,应用数学专业,70100,12,8012022
4,光合作用与植物光生物学,71001,2,0
4,生物信息检测与处理应用,71011,12,0
4,全球变化生态学,71300,1,0
4,湿地保护与管理,0713Z4,9,0
4,机器视觉及信息技术,80201,3,0
4,0虚拟现实及可视化技术,81200,4,0
4,木质复合材料与胶粘剂,82902,5,0
4,林产精细化工,82903,5,0
4,林业物联网,0829Z3,3,0
4,环境功能材料研发与应用,83000,13,0
4,食品质量与安全,83203,2,0
4,园林植物应用,83400,6,8006021
4,大气污染解析与控制,85229,13,0
4,经济林木良种繁育,90701,2,0
4,经济林（果树）培育与利用,90702,1,0
4,植物检疫,90703,1,0
4,林业遥感与信息技术,90704,1,0
4,动植物种质资源保护与利用,90705,9,0
4,荒漠化防治,90707,8,0
4,保护经济与保护政策,0907Z1,9,0
4,草地资源与生态,90900,1,0
4,森林经理,95400,1,8001079
4,企业管理,120200,7,0
4,视觉传达设计与理论,130500,14,8014021
5,翻译研究,50200,11,0
5,植物次生代谢与防御反应,71001,2,0
5,计算机视觉信息处理及应用,81200,4,0
5,木工机械与加工自动化,82902,5,0
5,化学催化及功能高分子材料,82903,5,0
5,森林食品资源开发与利用,83203,2,0
5,风景园林工程与技术,83400,6,8006021
5,生态环境规划与管理,85229,13,0
5,野生动物生理免疫与疫源疫病防控,90705,9,0
5,森林生态,95400,1,8001021
5,物业管理,120200,7,0
5,公共艺术设计与理论,130500,14,8014019
6,日本语言文化研究,50200,11,0
6,家具设计与制造,82902,5,0
6,风景园林遗产与保护,83400,6,8006021
6,土壤学,95400,1,8001061
7,包装材料与结构设计,82902,5,0
7,风景园林建筑,83400,6,8006021
8,生态旅游及管理,83400,6,8006003
9,旅游规划,83400,6,8006003
