project_id,uid,project_name,abstract,conclusion,achievement,certificate,certificate_level,,,,,,,,,
1,92,小游戏，购票系统，购物平台,用Java语言设计的你画我猜、五子棋等游戏，用Java Web语言和数据库设计的购物平台及后台服务系统，用C#语言和数据库结合设计的航空订票系统和银行管理系统,做研究过程中遇到许多问题，比如简单的跳转页面失败，数据库信息丢失等，但最后都得以解决，自己的实践能力还有待提高,无,1536916856,省市级,,,,,,,,,
4,119,“创青春”辽宁省大学生创业大赛,文化创意,,2018年“创青春”辽宁省大学生创业大赛金奖,,省市级,,,,,,,,,
6,87,首届东北风景园林规划设计大赛,海洋污染的生态处理概念规划,生态浮岛对海洋生态多的改善作用,提出了我们的设想，通过干式浮岛和湿式浮岛来改善生态,1536927620,省市级,,,,,,,,,
7,128,“大树微景观”工作营创作,该项目在福建省晋江市新店村，以一颗古树为中心，为当地村民打造一个休闲、娱乐的实际建造项目。,一个公共空间的营造需要将人文环境、地理环境、人的行为等紧密结合,大树微景观创作获得二等奖,,省市级,,,,,,,,,
10,128,仓东设计与建造工作坊,重新利用当地废旧建材，为归乡华侨和外出务工人员打造一个集炊煮聚会、观赏表演、DIY菜园等功能的场所。,乡村景观的营造要保留其乡村自然、淳朴的气息，与周围的环境相融合。,获得仓东计划竣工证书,1536931006,省市级,,,,,,,,,
11,142,全国大学生商务创新应用大赛 ,大学生商务创新创业实践应用竞赛,无,省赛二等奖,1536931820,省市级,,,,,,,,,
12,142,国有林区调研,参与逊克县林区职工调研活动,林区政策改革使得林场职工生活改善,无,,,,,,,,,,,
13,145,英语语音能力多元评价体系构建与实践,本项目尝试构建包括随堂评价、期末评价、课后朋辈辅导与互评、智能语音技术辅助测评和反馈、语音语调大赛等形成性评价导向的英语语音能力多元评价体系,在研,与项目组其他成员合作撰写一篇名为“基于HVPT的语音综合训练对英语专业新生语音产出的影响”的论文，论文待刊。,,,,,,,,,,,
16,152,集美大学厦门市村土地数字化项目,利用遥感影像，在ArcGIS上实现村土地数字化,无,无,,,,,,,,,,,
17,152,GeoHey公司划分交通小区数字化项目,利用QGIS软件，对道路图层进行添加或删除线，距离较近的区域划分为一个佳通小区，用于后期分析,无,无,,,,,,,,,,,
18,152,莆田市规划信息综合应用平台建设-数据建设,检查CAD规划图，对其进行化简整理，将CAD导入ArcGIS个人数据库，并且整理录入属性信息,无,无,,,,,,,,,,,
19,161,全国大学生英语竞赛,全国大学生英语竞赛,,二等奖,1536978454,国家级,,,,,,,,,
20,161,大学生外贸跟单及跨境电商能力大赛,第七届全国大学生外贸跟单及跨境电商职业能力大赛,,二等奖,1536978805,国家级,,,,,,,,,
21,161,全国高校商业精英挑战赛,2018年全国高校商业精英挑战赛,,三等奖,1536978984,国家级,,,,,,,,,
22,161,全国跨境电商大赛,第二届OCALE全国跨境电商创新创业能力大赛,,三等奖,1536979243,国家级,,,,,,,,,
23,161,全国外贸从业能力大赛,POCIB全国外贸从业能力大赛,,三等奖,1536979378,国家级,,,,,,,,,
26,83,中国建筑学会建筑师分会竞赛,山西省长治市井底村民俗改造设计,设计成果,2017年10月获第六届“中国营造”——2017全国环境艺术设计双年展建筑创意设计奖本科组铜奖。,,国家级,,,,,,,,,
28,83,中国建筑学会室内设计师分会竞赛,别墅庭院景观方案设计,手绘方案设计成果,2017年6月获2017第十四届中国手绘艺术设计大赛本科组表现类优秀奖。,,国家级,,,,,,,,,
29,83,山西大学校园绿地景观设计,山西大学校园绿地景观设计,设计成果,2017年12月获2017届“Garden”花园杯植物景观设计竞赛铜奖。,,国家级,,,,,,,,,
30,83,山西太谷农业生态园,山西太谷农业生态园景观规划设计,设计成果,2017年9月获山西平面设计展（全国作品征集和学科竞赛）优秀奖。,,省市级,,,,,,,,,
31,83,设计竞赛,海洋工程师工作室设计,设计成果,2017年6月获全国大中学生第六届海洋文化创意设计大赛优秀奖。,,国家级,,,,,,,,,
32,165,内蒙古科技与经济,浅谈由财务智能化对高校人才培养模式的思考,浅谈由财务智能化对高校人才培养模式的思考,浅谈由财务智能化对高校人才培养模式的思考,,,,,,,,,,,
34,122,首届NELA东北风景园林规划设计竞赛,尝试通过生态浮岛（干式浮岛与湿式浮岛）改善海洋污染,浮岛对海洋污染具有一定的改善作用,提出了通过生态浮岛改善海洋污染的构想，获得三等奖,,省市级,,,,,,,,,
35,122,第四届文科杯全国大学生景观设计竞赛,通过全方位地有机更新及线上线下反馈调节以期历史文化古镇的渐进复兴,古镇的复兴是一个循序渐进的过程，不可急于求成，且各方面的复兴是一个相互促进的有机整体,提出了渐进更新动态反馈的构想，获得优胜奖,,国家级,,,,,,,,,
36,181,互联网+大赛“知行”APP,“知行”APP是一款服务于企业商家和消费者的关于旅行的APP，方便旅行爱好者，受益于大众和商家。,参赛资格,虽然参赛，得到老师好评，但是因为存在一些资金上技术上的困难，未能推广运行,,,,,,,,,,,
37,160,云南省应用基础研究青年项目,云南省应用基础研究青年项目，西南林业大学科研启动基金，云南省高校优势特色重点学科（生态学）建设项目，国家林业局生态学科重点,不同林型乔木层生物量及碳储量差别显著,《水土保持研究》上发表《滇中亚高山5种典型森林乔木层生物量及碳储量分配格局》,1536987642,省市级,,,,,,,,,
