uid,course1,course2,course3,course4,course5,course6,final_score,staff1,staff2,staff3,staff4,staff5,staff6
72,84,87,0,0,0,0,86.4,0,0,0,0,0,0
126,88,89,84,0,0,0,87.69,0,0,0,0,0,0
127,93,90,0,0,0,0,90.78,0,0,0,0,0,0
130,84,0,0,0,0,0,84.1,0,0,0,0,0,0
145,70,89,90,0,0,0,81.72,0,0,0,0,0,0
146,91,0,0,0,0,0,91.2,0,0,0,0,0,0
153,88,86,0,0,0,0,86.4,0,0,0,0,0,0
155,87,87,0,0,0,0,87,0,0,0,0,0,0
157,71,85,0,0,0,0,78.2,0,0,0,0,0,0
177,80,82,0,0,0,0,81.6,0,0,0,0,0,0
184,68,82,0,0,0,0,74.9,0,0,0,0,0,0
190,88,79,0,0,0,0,83.5,8003009,8003042,0,0,0,0
236,89,89,92,0,0,0,89.582,0,0,0,0,0,0
256,90,0,0,0,0,0,90,8007046,0,0,0,0,0
258,87,84,0,0,0,0,84.6,0,0,0,0,0,0
279,88,88,0,0,0,0,88,0,0,0,0,0,0
296,85,0,0,0,0,0,85.1,0,0,0,0,0,0
325,90,0,0,0,0,0,90,8007022,0,0,0,0,0
333,83,0,0,0,0,0,82.5,0,0,0,0,0,0
347,90,93,0,0,0,0,92.1,0,0,0,0,0,0
351,90,90,0,0,0,0,90,8003009,8003042,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0,0
389,88,91,0,0,0,0,89.7,0,0,0,0,0,0
394,91,0,0,0,0,0,91,8007046,0,0,0,0,0
404,50,0,0,0,0,0,50,8007019,0,0,0,0,0
409,88,0,0,0,0,0,87.8,0,0,0,0,0,0
411,90,0,0,0,0,0,89.8,0,0,0,0,0,0
502,90,0,0,0,0,0,90,8007019,0,0,0,0,0
503,89,0,0,0,0,0,88.5,0,0,0,0,0,0
504,84,0,0,0,0,0,84,0,0,0,0,0,0
511,82,88,0,0,0,0,86.8,0,0,0,0,0,0
516,92,0,0,0,0,0,92.3,0,0,0,0,0,0
519,92,0,0,0,0,0,91.6,0,0,0,0,0,0
531,86,0,0,0,0,0,86.3,0,0,0,0,0,0
532,90,0,0,0,0,0,89.7,0,0,0,0,0,0
546,85,0,0,0,0,0,84.5,0,0,0,0,0,0
555,87,86,0,0,0,0,86.2,0,0,0,0,0,0
557,85,0,0,0,0,0,85.02,0,0,0,0,0,0
563,90,0,0,0,0,0,90,8007013,0,0,0,0,0
622,77,91,60,0,0,0,79.08,0,0,0,0,0,0
660,95,0,0,0,0,0,95,0,0,0,0,0,0
675,88,0,0,0,0,0,87.5,0,0,0,0,0,0
677,92,0,0,0,0,0,91.7,0,0,0,0,0,0
693,89,88,70,0,0,0,84.92,0,0,0,0,0,0
700,89,0,0,0,0,0,89.1,0,0,0,0,0,0
702,89,91,0,0,0,0,90.68,0,0,0,0,0,0
703,87,0,0,0,0,0,87,0,0,0,0,0,0
712,95,0,0,0,0,0,95,0,0,0,0,0,0
715,91,90,0,0,0,0,90.2,0,0,0,0,0,0
716,90,88,0,0,0,0,88.4,0,0,0,0,0,0
717,90,0,0,0,0,0,90,8007046,0,0,0,0,0
719,90,0,0,0,0,0,89.6,0,0,0,0,0,0
724,88,83,0,0,0,0,85.5,8003009,8003042,0,0,0,0
726,93,0,0,0,0,0,93,0,0,0,0,0,0
733,85,0,0,0,0,0,85,0,0,0,0,0,0
735,85,0,0,0,0,0,85.3,0,0,0,0,0,0
742,88,0,0,0,0,0,87.9,0,0,0,0,0,0
755,92,88,0,0,0,0,88.8,0,0,0,0,0,0
757,92,90,0,0,0,0,90.4,0,0,0,0,0,0
758,91,92,0,0,0,0,91.8,0,0,0,0,0,0
760,90,92,80,0,0,0,88.8,0,0,0,0,0,0
763,86,85,83,0,0,0,85.12,0,0,0,0,0,0
765,87,93,86,0,0,0,89.08,0,0,0,0,0,0
768,89,0,0,0,0,0,89.3,0,0,0,0,0,0
769,89,0,0,0,0,0,89.4,0,0,0,0,0,0
770,91,92,0,0,0,0,91.8,0,0,0,0,0,0
774,84,0,0,0,0,0,83.65,0,0,0,0,0,0
785,84,83,0,0,0,0,83.2,0,0,0,0,0,0
789,90,0,0,0,0,0,90.4,0,0,0,0,0,0
790,88,90,0,0,0,0,89.6,0,0,0,0,0,0
791,84,0,0,0,0,0,84,0,0,0,0,0,0
796,90,0,0,0,0,0,90,0,0,0,0,0,0
804,78,84,0,0,0,0,82.8,0,0,0,0,0,0
807,90,87,0,0,0,0,88.4,8003003,8003028,0,0,0,0
815,86,87,0,0,0,0,86.8,0,0,0,0,0,0
816,78,85,0,0,0,0,83.6,0,0,0,0,0,0
835,86,90,0,0,0,0,89.2,0,0,0,0,0,0
851,88,84,0,0,0,0,86.1,8003003,8003028,0,0,0,0
856,86,0,0,0,0,0,86,8007025,0,0,0,0,0
857,75,85,0,0,0,0,81.132,8001032,8001032,0,0,0,0
873,88,0,0,0,0,0,88,8007013,0,0,0,0,0
881,87,89,0,0,0,0,88.6,0,0,0,0,0,0
883,80,87,82,0,0,0,83.38,0,0,0,0,0,0
885,90,90,0,0,0,0,90,0,0,0,0,0,0
888,87,0,0,0,0,0,86.6,0,0,0,0,0,0
889,70,95,95,0,0,0,84.88,0,0,0,0,0,0
894,92,0,0,0,0,0,92,8007013,0,0,0,0,0
902,89,89,0,0,0,0,89,0,0,0,0,0,0
906,95,0,0,0,0,0,95,8007053,0,0,0,0,0
925,82,84,0,0,0,0,83.6,0,0,0,0,0,0
941,94,0,0,0,0,0,94,0,0,0,0,0,0
942,86,83,0,0,0,0,83.6,0,0,0,0,0,0
1011,87,0,0,0,0,0,87.2,0,0,0,0,0,0
1016,91,90,0,0,0,0,90.2,0,0,0,0,0,0
1020,90,94,0,0,0,0,92.66,0,0,0,0,0,0
1025,90,86,0,0,0,0,86.8,0,0,0,0,0,0
1039,67,0,0,0,0,0,33.5,0,0,0,0,0,0
1049,90,0,0,0,0,0,90,8007025,0,0,0,0,0
