subject_id,course1,per1,course2,per2,course3,per3,course4,per4,course5,per5,course6,per6,college_id
7,综合素质面试,1,,0,,0,,0,,0,,0,
20200,综合素质面试,1,,0,,0,,0,,0,,0,7
25200,综合素质面试,1,,0,,0,,0,,0,,0,7
25400,综合素质面试,1,,0,,0,,0,,0,,0,7
30101,外语听力和口语,0.2,专业笔试,0.4,综合面试,0.4,,0,,0,,0,10
30500,专业笔试（实践测试）,0.4,综合素质面试,0.4,外语听力（口语）,0.2,,0,,0,,0,15
40200,外语听力和口语,0.2,专业笔试,0.4,综合面试,0.4,,0,,0,,0,10
45400,外语听力和口语,0.2,专业笔试,0.4,综合面试,0.4,,0,,0,,0,10
50200,专业综合笔试,0.4,综合素质面试,0.4,二外听说,0.2,,0,,0,,0,11
55101,笔试,0.5,口试,0.5,,0,,0,,0,,0,11
70100,综合素质面试,1,,0,,0,,0,,0,,0,12
70501,专业知识笔试,0.4,外语听力,0.15,外语口语,0.05,综合素质面试,0.4,,0,,0,8
70503,专业笔试,0.4,外语听力口语,0.2,综合素质面试,0.4,,0,,0,,0,1
70503,专业知识笔试,0.4,外语听力,0.15,外语口语,0.05,综合素质面试,0.4,,0,,0,8
71001,专业课考核,0.4,英语口语水平测试,0.2,综合素质面试,0.4,,0,,0,,0,2
71002,专业综合笔试,0.4,外语听力及口语,0.2,综合素质面试,0.4,,0,,0,,0,2
71005,专业综合笔试,0.4,外语听力及口语,0.2,综合素质面试,0.4,,0,,0,,0,2
71009,专业综合笔试,0.4,外语听力及口语,0.2,综合素质面试,0.4,,0,,0,,0,2
71011,综合素质面试,1,,0,,0,,0,,0,,0,12
71300,专业笔试,0.4,综合素质面试,0.6,,0,,0,,0,,0,1
80201,综合面试,0.5,外语,0.5,,0,,0,,0,,0,3
80202,综合面试,0.5,外语,0.5,,0,,0,,0,,0,3
80203,综合面试,0.5,外语,0.5,,0,,0,,0,,0,3
80204,综合面试,0.5,外语,0.5,,0,,0,,0,,0,3
81200,听力+口语,0.2,面试,0.5,上机考试,0.3,,0,,0,,0,4
81300,专业笔试,0.5,综合素质面试,0.5,,0,,0,,0,,0,6
81402,专业知识笔试,0.4,外语听说,0.2,综合素质面试,0.4,,0,,0,,0,8
82901,综合面试,0.5,外语,0.5,,0,,0,,0,,0,3
82902,综合面试,1,,0,,0,,0,,0,,0,5
82903,综合面试,1,,0,,0,,0,,0,,0,5
0829Z3,综合面试,0.5,外语,0.5,,0,,0,,0,,0,3
83000,外语水平测试,0.3,综合素质面试,0.7,,0,,0,,0,,0,13
83203,专业综合笔试,0.4,外语听力及口语,0.2,综合素质面试,0.4,,0,,0,,0,2
83300,专业笔试,0.5,综合素质面试,0.5,,0,,0,,0,,0,6
83400,专业笔试1,0.4,专业笔试2,0.3,综合素质面试,0.3,,0,,0,,0,6
85201,综合面试,0.5,外语,0.5,,0,,0,,0,,0,3
85210,综合面试,0.5,外语,0.5,,0,,0,,0,,0,3
85211,听力+口语,0.2,综合素质面试,0.5,上机考试,0.3,,0,,0,,0,4
85212,听力+口语,0.2,综合素质面试,0.5,上机考试,0.3,,0,,0,,0,4
85228,综合面试,1,,0,,0,,0,,0,,0,5
85229,外语水平测试,0.3,综合素质面试,0.7,,0,,0,,0,,0,13
90301,外语听力口语,0.4,综合素质面试,0.6,,0,,0,,0,,0,1
90701,专业综合笔试,0.4,外语听力及口语,0.2,综合素质面试,0.4,,0,,0,,0,2
90702,外语听力口语,0.2,综合素质面试,0.8,,0,,0,,0,,0,1
90703,笔试,0.4,外语听力口语,0.2,综合素质面试,0.4,,0,,0,,0,1
90704,外语听力口语,0.3,综合素质面试,0.7,,0,,0,,0,,0,1
90707,专业知识笔试,0.4,外语听说,0.2,综合素质面试,0.4,,0,,0,,0,8
0907Z2,笔试,0.4,外语听力口语,0.2,综合素质面试,0.4,,0,,0,,0,1
90900,综合素质面试,0.7,外语综合应用能力,0.3,,0,,0,,0,,0,1
95113,专业综合笔试,0.4,外语听力及口语,0.2,综合素质面试,0.4,,0,,0,,0,
95131,综合素质面试,0.7,外语综合应用能力,0.3,,0,,0,,0,,0,1
95135,专业综合笔试,0.4,外语听力及口语,0.2,综合素质面试,0.4,,0,,0,,0,2
95136,专业笔试,0.4,外语听力口语,0.2,综合素质面试,0.4,,0,,0,,0,4
95138,综合素质面试,1,,0,,0,,0,,0,,0,7
95300,专业笔试1,0.4,专业笔试2,0.3,综合素质面试,0.3,,0,,0,,0,6
95400,专业知识笔试,0.4,外语听说,0.2,综合素质面试,0.4,,0,,0,,0,8
97300,外语水平测试,0.2,综合素质面试,0.8,,0,,0,,0,,0,6
120200,综合素质面试,1,,0,,0,,0,,0,,0,7
120300,综合素质面试,1,,0,,0,,0,,0,,0,7
120401,外语听力和口语,0.2,专业笔试,0.4,综合面试,0.4,,0,,0,,0,10
125300,综合素质面试,1,,0,,0,,0,,0,,0,7
