uid,status,subject,professor,college,school,remarks,subject_re,college_re,school_re,remark_re,create_at,update_at,live_check_status,live_check_staff
1,5,0,0,0,0,,0,0,0,,2019/9/12 9:06,2019/9/20 14:00,13,
2,3,0,0,0,0,,0,0,0,,2019/9/12 9:06,2019/9/17 15:37,13,
3,2,0,0,0,0,,0,0,0,,2019/9/12 9:07,2019/9/12 9:07,13,
5,3,0,0,0,0,,0,0,0,,2019/9/12 9:07,2019/9/17 15:34,13,
6,-3,0,0,0,0,,0,0,0,,2019/9/12 9:09,2019/9/26 12:00,13,
7,2,0,0,0,0,,0,0,0,,2019/9/12 9:10,2019/9/12 9:10,13,
9,6,0,0,0,0,,0,0,0,,2019/9/12 9:11,2019/9/25 20:17,13,
11,10,0,0,0,0,,0,0,0,,2019/9/12 9:13,2019/10/17 14:41,13,
12,-4,0,0,0,0,,0,0,0,,2019/9/12 9:14,2019/9/26 19:09,13,
13,-3,0,0,0,0,,0,0,0,,2019/9/12 9:16,2019/9/26 9:42,13,
14,7,0,0,0,0,,0,0,0,,2019/9/12 9:18,2019/9/27 19:19,1,8013001
15,3,0,0,0,0,,0,0,0,,2019/9/12 9:18,2019/9/12 11:17,13,
16,3,0,0,0,0,,0,0,0,,2019/9/12 9:23,2019/9/12 9:43,13,
18,-3,0,0,0,0,,0,0,0,,2019/9/12 9:33,2019/9/25 23:27,13,
19,2,0,0,0,0,,0,0,0,,2019/9/12 9:37,2019/9/12 9:37,13,
20,2,0,0,0,0,,0,0,0,,2019/9/12 9:44,2019/9/12 9:44,13,
21,3,0,0,0,0,,0,0,0,,2019/9/12 9:44,2019/9/12 10:15,13,
22,2,0,0,0,0,,0,0,0,,2019/9/12 9:45,2019/9/12 9:45,13,
23,3,0,0,0,0,,0,0,0,,2019/9/12 9:47,2019/9/12 11:16,13,
24,10,0,0,0,0,,0,0,0,,2019/9/12 9:50,2019/9/30 10:03,12,8004044
25,10,0,0,0,0,,0,0,0,,2019/9/12 9:52,2019/10/17 14:41,13,
26,3,0,0,0,0,,0,0,0,,2019/9/12 9:52,2019/9/25 15:39,13,
27,4,0,0,0,0,,0,0,0,,2019/9/12 10:01,2019/10/11 8:57,1,8008001
28,10,0,0,0,0,,0,0,0,,2019/9/12 10:19,2019/10/10 14:38,1,8002001
29,-3,0,0,0,0,,0,0,0,,2019/9/12 10:50,2019/9/26 12:00,13,
30,2,0,0,0,0,,0,0,0,,2019/9/12 10:51,2019/9/24 19:47,13,
31,-4,0,0,0,0,,0,0,0,,2019/9/12 10:52,2019/9/27 9:04,13,
