uid,eid,status
1,1,1
1,2,1
1,3,1
1,4,1
1,5,0
1,6,1
1,7,1
1,8,0
1,9,0
2,1,1
2,2,2
2,3,1
2,4,1
2,5,0
2,6,1
2,7,1
2,8,0
2,9,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
5,1,1
5,2,1
5,3,1
5,4,3
5,5,2
5,6,1
5,7,1
5,8,0
5,9,0
6,1,1
6,2,1
6,3,1
6,4,1
6,5,2
6,6,1
6,7,1
6,8,0
6,9,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
9,1,1
9,2,2
9,3,2
9,4,1
9,5,1
9,6,1
9,7,1
9,8,0
9,9,0
11,1,1
11,2,1
11,3,2
11,4,1
11,5,0
11,6,1
11,7,1
11,8,0
11,9,0
12,1,1
12,2,1
12,3,1
12,4,1
12,5,0
12,6,1
12,7,1
12,8,0
12,9,0
13,1,1
13,2,1
13,3,1
13,4,2
13,5,2
13,6,1
13,7,0
13,8,0
13,9,0
14,1,1
14,2,1
14,3,1
14,4,1
14,5,0
14,6,1
14,7,0
14,8,0
14,9,0
15,1,1
15,2,2
15,3,1
15,4,1
15,5,0
15,6,1
15,7,1
15,8,0
15,9,0
16,1,1
16,2,1
16,3,1
16,4,1
16,5,0
16,6,1
16,7,1
16,8,0
16,9,1
18,1,1
18,2,1
18,3,1
18,4,1
18,5,0
18,6,1
18,7,1
18,8,0
18,9,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
20,1,1
20,2,0
20,3,0
20,4,0
20,5,0
20,6,1
20,7,1
20,8,0
20,9,0
21,1,1
21,2,1
21,3,1
21,4,1
21,5,0
21,6,1
21,7,0
21,8,0
21,9,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
23,1,1
23,2,1
23,3,1
23,4,1
23,5,0
23,6,1
23,7,1
23,8,0
23,9,0
24,1,1
24,2,1
24,3,2
24,4,1
24,5,0
24,6,1
24,7,1
24,8,0
24,9,0
25,1,1
25,2,1
25,3,1
25,4,2
25,5,0
25,6,1
25,7,1
25,8,0
25,9,0
26,1,1
26,2,1
26,3,1
26,4,1
26,5,0
26,6,1
26,7,0
26,8,0
26,9,0
27,1,1
27,2,2
27,3,1
27,4,1
27,5,0
27,6,1
27,7,0
27,8,0
27,9,0
28,1,1
28,2,2
28,3,1
28,4,3
28,5,0
28,6,1
28,7,1
28,8,0
28,9,0
29,1,1
29,2,5
29,3,2
29,4,1
29,5,0
29,6,1
29,7,1
29,8,0
29,9,0
30,1,0
30,2,0
30,3,0
30,4,0
30,5,0
30,6,0
30,7,0
30,8,0
30,9,0
31,1,1
31,2,1
31,3,1
31,4,1
31,5,1
31,6,1
31,7,1
31,8,0
31,9,0
32,1,1
32,2,1
32,3,1
32,4,1
32,5,0
32,6,1
32,7,0
32,8,0
32,9,0
33,1,1
33,2,2
33,3,1
33,4,1
33,5,0
33,6,1
33,7,1
33,8,0
33,9,0
34,1,0
34,2,0
34,3,0
34,4,0
34,5,0
34,6,0
34,7,0
34,8,0
34,9,0
35,1,1
35,2,2
35,3,1
35,4,1
35,5,0
35,6,1
35,7,1
35,8,0
35,9,0
36,1,0
36,2,1
36,3,0
36,4,0
36,5,0
36,6,0
36,7,0
36,8,0
36,9,0
37,1,1
37,2,1
37,3,1
37,4,4
37,5,0
37,6,1
37,7,0
37,8,0
37,9,0
38,1,1
