project_id,uid,project_name,abstract,conclusion,achievement,certificate,certificate_level,create_at
2,13,2019年调研河北社会调查活动,基于对石家庄市七所省属重点高校的调查，大学生消费者对娱乐性质的虚拟商品需求较大。项目运用描述性分析、逻辑回归分析和决策树分析等对石家庄市大学生虚拟商品消费行为，泛娱乐化消费倾向产生的个人因素、环境因素及市场因素进行了定量的数据分析。通过深度访谈等进行定性,大学生虚拟商品消费泛娱乐化，需加强自我管控、学校教育等,立项,,省市级,2019/9/12 1:38
3,9,大学生创新项目校级立项,《互联网+模式下实体书店生存现状的统计调查与分析——以昆明市为例》,,,,,
5,15,《人力资源管理操作实务》,负责协助《人力资源管理操作实务》书籍的案例库补充工作。在这个过程中，我查阅了大量的文献以及人力资源经典书籍，培养了自己快速整理并分析文本的能力,研究了华为等企业，最终形成了较为成熟的案例。,《人力资源管理操作实务》章节案例,,其他,2019/9/12 1:45
6,24,基于TensorFlow框架的神经网络猫狗分类器实现,使用tensorflow框架实现对猫狗图片的分类,与直接编写程序相比，使用tensorflow框架可以使代码更简洁有层次。,使用CNN成功实现图片的分类,,其他,2019/9/12 2:06
7,24,基于QGIS的城市餐饮店铺选址分析与可视化,利用python和QGIS进行分析，筛选出可开店铺的餐饮类型与位置。,得到较好选址的网格位置的中心点坐标及所属区域，在徐汇区附近,，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。,public/img/stu/24/project/24_62b2ff0b.jpeg,其他,2019/9/12 2:08
8,24,房价影响因素挖掘,分析上海市人口密度、路网密度，离市中心距离等因素与房价的关系,随着离市中心的距离越远，指标的相关性在数据上体现更明显，越靠近市,看出上海房价市场的“中心城区-郊区”分化特征。,,其他,2019/9/12 2:09
10,23,院级大学生创新训练项目,湖北省荆门市城乡一体化背景下农村居民后续养老问题研究,创新型养老模式,结项证书,public/img/stu/23/project/23_51d279de.jpeg,其他,2019/9/12 2:12
13,24,信用卡欺诈检测 ,对脱敏后的信息进行训练，实用逻辑回归思想进行欺诈检测,发生欺诈的信用卡只是少数，要根据实际情况选择合适的检测模型,可以提供的信息检测出信用卡是否存在欺诈嫌疑,,其他,2019/9/12 2:31
14,24,电商打折套路解析,通过对收集到的淘宝双十一前后十天打折数据的分析，对打折套路进行分类解析,国产品牌大量大打折，而高端品牌打折情况并不明显,发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天,,其他,2019/9/12 2:33
15,9,云南民族大学暑期科研校级立项,《新常态下不同人群社会安全感的调查》,未结项,调查报告,,其他,2019/9/12 2:37
16,33,基于角色扮演类网络游戏的大学生自我认同建构,本文主要以手游“王者荣耀”为研究的切入点，以“个体我”、“关系我”、“群体我”为主要的理论模型依据，通过半结构化的访谈方式，以扎根法分析质性研究资料形成结论，来揭示包括“王者荣耀”在内的带有角色扮演性质的手游是如何影响大学生的自我认同建构的。,大学生的手游使用的虚拟/现实关系主导性在很大程度上取决于其在现实,一篇关于《基于角色扮演类网络游戏的大学生自我认同建构》的论文。,,其他,2019/9/12 3:33
18,41,陕北黄土区不同微地形土壤养分特征研究,参与导师朱清科教授科研项目“陕北黄土区不同微地形土壤养分特征研究”，跟随进行外业调查与土壤样品采集，参与室内实验测定土壤容重与有机质含量等,项目仍在进行中,这些结果表明黄土高原生态恢复区的土壤水分分布高度依赖于恢复措施和微地形种类。因此，在进行黄土高原的生态环境构建时应充分利用不同微地形的水分优势，力求高效利用水分的同时做到不超额、不过载，有意识的避免深层土壤干层的恶化。,,国家级,2019/9/12 4:11
19,40,河南省教育厅人文社科项目(编号: 2017-ZZJH-232),从我国经济进入转型期以后，原料乳价格一直存在周期性的短期波动和长期波动。随着外部影响因素的增多，波动的周期出现不规则变化，呈现缩短的趋势。本文基于奶牛繁殖的自然规律构建的奶牛存栏增长模型，运用经济学的基本理论分析了原料乳价格短期波动和长期波动的机理。,原料乳价格波动受奶牛繁殖规律的影响较大，其价格波动有长短期波动,《基于奶牛繁殖规律的奶业生产周期性波动分析》发表于《河南畜牧兽医》,public/img/stu/40/project/40_41da952a.jpeg,省市级,2019/9/12 4:14
20,48,单词识记类App对大学生英语词汇量的影响,本项目自2017年10月20日起，以“单词识记类App对大学生英语词汇量的影响”为题，首先对英语单词识记App类别性能进行分析，再分别从理论与实际上，研究App对大学生词汇量的提升效果以及对英语学习的积极意义，总结出如何让大学生更有效地使用单词记忆App和增加词汇量的方法。,一款好的单词识记App，应高效助记，在社交、UI、操作便捷性等出色。,①评测发现，大部分识记单词App都是随机出词，未标明是核心或非核心词汇，词汇分级不明显。建议单词背诵循序渐进，由基础到核心，最后学习非核心等低频词汇，使英语学习更高效和有针对性。②同形异义词的区分不严谨，所评测的APP中仅有两个有表明区别。,public/img/stu/48/project/48_5497b504.jpeg,其他,2019/9/12 4:57
22,55,“深圳市建成区植物调查”课题,围绕深圳市的公园绿地、单位附属绿地、道路绿地等，建立植物调查指标体系，编制植物调查技术规范，筛选典型样地，开展城市建成区植物调查，分析植物物种、数量及其空间分布格局，提出建成区植被保护和管控对策，并为深圳市生物多样性保护规划编制提供数据支撑和建议。,未结题,1.深圳市建成区植物调查2018年进展报告2.深圳建成区植物调查指标体系3.深圳市建成区植物观赏效果图谱4.深圳市建成区植物群落图谱等,,省市级,2019/9/12 6:27
25,65,mRNA 的纯化方法对文库质量的影响,为了调取较 完整、纯度较高的 mRNA，本研究采用磁性分离技术调取 mRNA，磁性复合微粒通过其表面的功能团与 oligo (dT)25 相偶联，形成杂交体－磁珠复合体，外加磁场来实现 mRNA 的快速分离，并经过不同试剂纯化后得到高质量的mRNA，用于构建转录组文库。,mRNA 被调取后，使用不同的缓冲液纯化时对mRNA 质 量影响较大。,第三作者身份在期刊《分子植物育种》中发表题为“mRNA的纯化方法对文库质量的影响”的文章。,public/img/stu/65/project/65_8f1c5aa9.jpeg,其他,2019/9/12 8:07
26,84,双梯度钻井系统关键技术研究及应用,通过对双层连续管双梯度钻井举升系统的研发来研究天然气水合物的钻采方式,双梯度钻井系统技术能提高天然气水合物钻采效率,完成了双梯度钻井系统关键技术的研究以及对天然气水合物钻采的虚拟仿真模拟,,国家级,2019/9/12 8:21
27,86,家风对企业家的影响,调研家风传统文化对企业家个人价值观、世界观的影响，进而对企业家产生的企业行为和企业文化的影响分析。,家风对于企业家的影响是巨大且深远的，决定企业文化。,在该项目中，获得“优秀个人”称号。,public/img/stu/86/project/86_57f9a1f9.jpeg,其他,2019/9/12 8:24
28,64,转BpCCR及BpGH3.5基因白桦优良株系选择,植物生长素酰胺合成酶基因家族（GH3s）为典型的植物生长素初级/早期响应基因，多数家族基因可通过调节植物体内游离IAA的浓度实现对生长发育的调控。故此，采用基因工程育种技术将BpGH3.5正义链、反义链导入白桦基因组中，预期获得速生转基因白桦新品种。,BpGH3.5反义链导入白桦基因组后干扰了白桦BpGH3.5基因的表达。,在北京林业大学学报上以第一作者的身份发表论文《转BpGH3.5基因白桦优良株系选择》一篇。,public/img/stu/64/project/64_c081f1ec.jpeg,国家级,2019/9/12 8:26
29,86,“企业社会责任”编纂,独立编纂企业社会责任的四章内容，从企业利益相关体客户、供应商、职工等三个角度分析企业社会责任。,企业对其利益相关方有着相应的社会责任，必须承担其应当承担的责任。,分析企业社会责任，以及其深远的意义。,,其他,2019/9/12 8:26
30,71,《黑龙江省4种野生委陵菜抗旱性的比较研究》,从植物细胞学、光合能力和生理指标方面对黑龙江省4种野生委陵菜属植物进行抗旱性的比较研究。采用连续控水模拟干旱，利用隶属函数法对缺水条件下植物叶片细胞结构形态、光合能力及生理指标进行综合评价分析，研究它们的耐性差异，为委陵菜属品种选育与开发利用提供有利依据。,抗旱性强弱：莓叶委陵菜＞委陵菜＞菊叶委陵菜＞蛇莓委陵菜。,发表中文核心期刊《北方园艺》（已录用，待见刊）,public/img/stu/71/project/71_545db4b5.jpeg,国家级,2019/9/12 8:28
31,86,回收物流课题研究,研究回收物流的现状。,可回收物流有着可观的市场和发展前景。,学校快递点在此次调研后开始重视对快递包装的回收利用，回收物流的重视度有所提升。,,其他,2019/9/12 8:29
32,65,白桦木质部原生质体制备反应体系研究,以生长活跃期不同发育阶段的成熟白桦茎干为研究材料，对其木质部进行原生质体提取。通过对不同的酶溶液浓度,,,,,
33,84,RCO废气处理设备设计,根据企业方要求，研发设计了一种新型处理挥发性有机化合物的环保装备,设计方案已被企业采用,设计研发的新型RCO废气处理设备大大提高了废气处理的效率以及工厂空间利用率,,其他,2019/9/12 8:31
34,71,《黑龙江省野生委陵菜资源收集及其抗逆性评价》,通过调查并引种黑龙江省地区委陵菜属野生资源，进行花、叶、株型、花期等形态学观测，及对其在干旱、盐胁迫下植物形态特征、细胞结构及生理指标的变化，进行抗旱性、抗盐性综合性评价。筛选出具有观赏价值、药用价值和经济价值的优良性状资源，为培育花卉新品种作理论基础。,抗旱性强弱：莓叶委陵菜＞委陵菜＞菊叶委陵菜＞蛇莓委陵菜。,仍在进行，目前被立为省级创新训练项目。,public/img/stu/71/project/71_d41fecfc.jpeg,省市级,2019/9/12 8:35
35,84,儿童防溺水书包设计,设计研发一款或多款预防5~14岁儿童溺水的书包,设计方案已被企业采用,经过不断的材料选择，重量计算以及实地实验，成功设计出了不同型号应用于不同年龄段儿童的防溺水书包,,其他,2019/9/12 8:36
37,92,大学生创新项目,2019年主持北京市级大创项目《生物炭及生物炭复合肥对黄河口芦苇湿地土壤持水能力的影响》 。,目前项目正顺利进行。,验证生物炭改善土壤性状的假说，为黄河口芦苇湿地土壤提供支撑。,,省市级,2019/9/12 8:39
38,94,省级大学生创新训练项目,?研究的关键问题：分析延吉市初中乡土地理课程教学现状，并针对教学现状以及提高乡土地理课程教学水平提出建议。,延吉市初中乡土地理教学落实不好,严畅,,,
39,94,新媒体传播环境下高校地理教学方式的变革,研究翻转课堂对大学地理学科教学的利弊，并对如何将翻转课堂与大学地理课堂教学结合提出建议。,翻转课堂对大学地理课堂有利与弊,?严畅.新媒体传播环境下高校地理教学方式的变革[J].智富时代,,,
40,71,《密闭花卉工艺品产业化--格林屋有限责任公司》,以肉锥花作为植物材料，利用播种繁殖和扦插繁殖等技术，在仅允许气体进出的玻璃器物内栽培出生命力顽强且易于照理的多肉植物，并制作成别具一格、丰富多样的挂件等小饰品及桌饰、墙饰、纪念品等大型装饰物。,在网络平台（公众号、淘宝商店）和线下（如学校、商场）进行正式销售,仍在进行，目前被立为省级创业训练项目。,public/img/stu/71/project/71_2863168b.jpeg,省市级,2019/9/12 8:59
41,94,基于逐步回归的低保标准预测模型研究,提出一种基于逐步回归的低保标准预测模型，以吉林省城镇作为检验对象，采用逐步回归法建立“低保标准”预测模型并进行有效性和精度检验。,模型可信度高，可以为政府决策者制定低保标准提供理论性参考。,?蔡天鸿，严畅.基于逐步回归的低保标准预测模型研究[J].山东工业技术,,,
42,49,杨凌农业文化遗址资源遗产的整理研究,项目从农业文化的视角，针对杨凌地区开展农业文化遗产的研究，一方面可以全面整理杨凌文化遗产数据化的资料，另一方面对杨凌农业文化遗产进行量化的价值评估，对杨凌农业文化遗产的保护及利用提供研究基础。,2018年杨凌农业文化遗产的非使用价值约为 2914.20万元。,（1） 总结整理了部分杨凌农业文化遗产名录，将遗产地样本区分为核心区和非核心区，探讨不同区域居民评估意见的区域差异，并对其进行了较为科学的价值评估。（2） 发表论文一篇，题目为《杨凌农业文化遗产的非使用价值支付意愿》,public/img/stu/49/project/49_954aef0b.jpeg,其他,2019/9/12 9:12
43,96,《基于SCP-AHP的精准扶贫跟踪审计评价体系研究——以,精准扶贫政策是国家基于贫困治理问题，结合我国国情提出的指导性方针，对扶贫成败起关键作用。政策的落实离不开跟踪审计的监督反馈，然而，目前我国精准扶贫审计在进行扶贫成果评价时仍缺乏完善科学的评价方法。基于此，本项目将结合SCP模型和AHP（层次分析法）在绩效评价中,构建SCP-AHP精准扶贫跟踪评价审计体系，结合砀山县具体情况予以应用,申请安徽财经大学2018年省级大学生创新训练计划项目,public/img/stu/96/project/96_83310561.jpeg,省市级,2019/9/12 9:13
45,37,快递纸盒的纸艺创新设计,针对现有快递纸盒包装问题，研究基于环保和可持续化设计，从纸艺方面增加纸盒的可回收率和二次利用价值，延长其使用周期，减少资源浪费。,以“亲子关系+传统文化”的主题着手进行创新设计。为品牌儿童成语故,研究一套纸艺创新得快递盒,,其他,2019/9/12 10:15
47,111,基于气象时间序列的森林气象火线等级预测方法研究,本系统拟通过气象时间序列分析的手段预测一段时间内局部地区气温、风速、日照时间等气象因素与森林火险气象等级的关系，以此来作为森林火灾发生的可能性和防火管理的重要依据，进而辅助并巩固森林资源，实现森林生态建设的可持续发展。,拟通过本项目的研究，实现对森林气象火险等级的有效预测。,预期成果：发表 SCI 或 EI 检索论文一篇 森林气象火险等级预测原型系统 形成森林气象火险等级预测结题报告一篇 森林气象火险等级预测原型软件著作权一项,,国家级,2019/9/12 3:56
48,120,北京市大学生创新计划,该项目为2018年度大学生创新计划，主要是以导师制为主要形式，带领学生进行相关的学术研究，培养学生的学术思维，提升科研素养。,该项目于2019年初顺利结题，很好地提升了学生的科研素养。,2018年以学术论文《从研发投入分析互联网教育企业的竞争力—以全通教育为例》和《互联网教育企业的商业模式以及其中蕴含的盈利分析》结题，且分别公开发表于期刊《商业经济》和《中国商论》，我分别担任第一作者和第四作者。,,省市级,2019/9/13 12:55
49,120,2018年暑期STAY IN TOKYO项目,该项目公派北京信息科技大学优秀本科学生至日本上智大学进行学术交流。包括日本的教育、经济、文化等各方面。采取上课、企业见习、实地观察等多种学习方式。,撰写10000余字学习报告，极大地拓展了我的视野。,学习报告一份，且获得日本上智大学颁发的结业证书。,public/img/stu/120/project/120_ce179e5c.jpeg,其他,2019/9/13 1:01
