subject_id,subject_name,college_id,staff_id,total_stu,free_stu,course1,course2,course3,course4,remark,LHPYDWM,LHPYDW,XZ,Zslx,Zslx_stu
10100,哲学,10,8010015,8,2,,,,,,0,,0,0,0
20200,应用经济学,7,8007120,21,13,,,,,,0,,0,0,0
25200,应用统计,7,8007022,19,10,,,,,,0,,0,0,0
25400,国际商务,7,8007016,19,10,,,,,,0,,0,0,0
30101,法学理论,10,8010037,9,3,,,,,,0,,0,0,0
30500,马克思主义理论,15,0,15,5,,,,,,0,,3,0,0
40200,心理学,10,8010013,11,4,,,,,,0,,0,0,0
45400,应用心理,10,8010013,20,7,,,,,,0,,0,0,0
50200,外国语言文学,11,8011026,14,10,,,,,,0,,0,0,0
55101,英语笔译,11,8011005,29,10,,,,,,0,,0,0,0
70100,数学,12,8012022,6,2,,,,,,0,,3,0,0
70501,自然地理学,8,8008017,6,3,,,,,,0,,0,0,0
70503,地图学与地理信息系统,1,8001042,12,6,,,,,,0,,0,0,0
70503,地图学与地理信息系统,8,8008017,10,5,,,,,,0,,0,0,0
71001,植物学,2,8002030,19,6,,,,,,0,,0,0,0
71002,动物学,2,8002028,5,1,,,,,,0,,0,0,0
71005,微生物学,2,8002038,8,2,,,,,,0,,0,0,0
71007,遗传学,2,8002036,9,3,,,,,,0,,0,0,0
71009,细胞生物学,2,8002018,9,2,,,,,,0,,0,0,0
71010,生物化学与分子生物学,2,8002019,10,3,,,,,,0,,0,0,0
71011,生物物理学,12,8012007,6,2,,,,,,0,,3,0,0
0710Z2,计算生物学与生物信息学,2,8002080,6,2,,,,,,0,,0,0,0
71300,生态学,1,8001021,26,13,,,,,,0,,0,0,0
0713Z4,湿地生态学,9,8009001,11,5,,,,,,0,,0,0,0
80201,机械制造及其自动化,3,8003009,2,1,,,,,xuxuefeng@bjfu.edu.cn,0,,0,0,0
80202,机械电子工程,3,8003009,4,2,,,,,xuxuefeng@bjfu.edu.cn,0,,0,0,0
80203,机械设计及理论,3,8003009,8,4,,,,,xuxuefeng@bjfu.edu.cn,0,,0,0,0
80204,车辆工程,3,8003009,5,3,,,,,xuxuefeng@bjfu.edu.cn,0,,0,0,0
81200,计算机科学与技术,4,8004005,18,3,,,,,,0,,0,0,0
81300,建筑学,6,8006006,3,1,,,,,,0,,0,0,0
81402,结构工程,8,8008012,6,3,,,,,,0,,0,0,0
82901,森林工程,3,8003003,9,4,,,,,kanjm@bjfu.edu.cn,0,,0,0,0
82902,木材科学与技术,5,8005052,36,20,,,,,,0,,3,0,0
82903,林产化学加工工程,5,8005015,35,18,,,,,,0,,3,0,0
0829Z2,林业信息工程,4,8004009,7,2,,,,,,0,,0,0,0
0829Z3,林业电气化与自动化,3,8003014,9,4,,,,,yandongzh@bjfu.edu.cn,0,,0,0,0
83000,环境科学与工程,13,8013011,32,16,,,,,,0,,3,0,0
83203,农产品加工及贮藏工程,2,8002023,10,4,,,,,,0,,0,0,0
83300,城乡规划学,6,8006010,5,3,,,,,,0,,0,0,0
83400,风景园林学（工学）,6,8006021,48,30,,,,,,0,,0,0,0
85201,机械工程,3,8003009,36,15,,,,,xuxuefeng@bjfu.edu.cn,0,,0,0,0
85210,控制工程,3,8003014,36,15,,,,,yandongzh@bjfu.edu.cn,0,,0,0,0
85211,计算机技术,4,8004003,11,2,,,,,,0,,0,0,0
85212,软件工程,4,8004036,37,6,,,,,,0,,0,0,0
85228,林业工程,5,8005052,43,22,,,,,,0,,3,0,0
85229,环境工程,13,8013011,50,18,,,,,,0,,3,0,0
90301,土壤学,1,8001061,11,2,,,,,,0,,0,0,0
90701,林木遗传育种,2,8002008,23,7,,,,,,0,,0,0,0
90702,森林培育,1,8001014,26,13,,,,,,0,,0,0,0
90703,森林保护学,1,8001038,30,15,,,,,,0,,0,0,0
90704,森林经理学,1,8001079,22,11,,,,,,0,,0,0,0
90705,野生动植物保护与利用,9,8009001,25,12,,,,,,0,,0,0,0
90707,水土保持与荒漠化防治,8,8008039,70,30,,,,,,0,,0,0,0
0907Z1,自然保护区学,9,8009001,10,5,,,,,,0,,0,0,0
0907Z2,城市林业,1,8001040,5,2,,,,,,0,,0,0,0
90900,草学,1,8001041,12,6,,,,,,0,,0,0,0
95131,农艺与种业,1,8001041,10,4,,,,,,0,,0,0,0
95135,食品加工与安全,2,8002023,37,10,,,,,,0,,0,0,0
95136,农业工程与信息技术,1,8001042,9,4,,,,,,0,,0,0,0
95136,农业工程与信息技术,4,8004011,13,2,,,,,,0,,0,0,0
95138,农村发展,7,8007078,22,10,,,,,,0,,0,0,0
95300,风景园林,6,8006021,148,55,,,,,,0,,0,0,0
95400,林业,1,8001001,91,38,,,,,,0,,0,0,0
95400,林业,8,8008039,80,15,,,,,,0,,0,0,0
97300,风景园林学（农学）,6,8006024,40,20,,,,,,0,,3,0,0
120200,工商管理,7,8007121,25,17,,,,,,0,,0,0,0
120300,农林经济管理,7,8007053,15,12,,,,,,0,,3,0,0
120401,行政管理,7,8007073,6,3,,,,,,0,,0,0,0
120401,行政管理,10,8010004,4,1,,,,,,0,,0,0,0
125200,公共管理非全日制专业学位,10,8010004,45,0,,,,,,0,,0,0,0
125300,会计,7,8007072,30,12,,,,,,0,,0,0,0
130500,设计学,14,8014009,12,6,,,,,,0,,0,0,0
1305Z1,动画艺术学,14,8014026,4,2,,,,,,0,,0,0,0
135107,美术,14,8014021,10,3,,,,,,0,,0,0,0
135108,艺术设计,14,8014035,38,16,,,,,,0,,0,0,0
