uid,subject,professor,college,school,status,remarks,subject_re,college_re,school_re,remark_re
63,8007072,0,8007001,0,6,,0,0,0,
64,0,0,0,0,2,,0,0,0,
65,0,0,0,0,2,,0,0,0,
66,8006021,0,8006001,0,6,,0,0,0,
67,8001041,0,8001001,0,6,,0,0,0,
68,8014035,0,8014001,0,6,,0,0,0,
69,0,0,0,0,-1,,0,0,0,
70,8004005,0,8004001,0,5,,0,0,0,
71,8008039,0,8008001,0,6,,0,0,0,
72,8006024,0,8006001,0,5,,0,0,0,
73,0,0,0,0,-1,,0,0,0,
75,8004036,0,8004001,0,6,,0,0,0,
76,0,0,0,0,2,,0,0,0,
77,0,0,0,0,2,,0,0,0,
78,0,0,0,0,2,,0,0,0,
79,0,0,0,0,2,,0,0,0,
80,0,0,0,0,2,,0,0,0,
81,0,0,0,0,-1,,0,0,0,
82,0,0,0,0,2,,0,0,0,
83,0,0,0,0,-1,,0,0,0,
84,8007120,0,8007001,0,5,,0,0,0,
85,8007121,0,8007001,0,6,,0,0,0,
86,8014026,0,8014001,0,5,,0,0,0,
87,8006021,0,8006001,0,5,,0,0,0,
88,0,0,0,0,-1,,0,0,0,
89,8006021,0,0,0,-1,,0,0,0,
90,0,0,0,0,-1,,0,0,0,
91,0,0,0,0,-1,,0,0,0,
92,8004005,0,8004001,0,5,,0,0,0,
93,8005052,0,8005001,0,5,,0,0,0,
94,8006021,0,8006001,0,6,,0,0,0,
96,0,0,0,0,-1,,0,0,0,
97,0,0,0,0,-1,,0,0,0,
98,8014035,0,8014001,0,6,,0,0,0,
109,0,0,0,0,-1,,0,0,0,
110,0,0,0,0,2,,0,0,0,
111,0,0,0,0,-33,,0,0,0,
112,8003009,0,0,0,2,,0,0,0,
119,8014035,0,8014001,0,5,,0,0,0,
120,0,0,0,0,-1,,0,0,0,
121,0,0,0,0,2,,0,0,0,
122,0,0,0,0,-1,,0,0,0,
123,0,0,0,0,-1,,0,0,0,
124,8001021,0,8001001,0,6,,0,0,0,
125,0,0,0,0,-1,,0,0,0,
126,8015001,0,8015001,0,6,,0,0,0,
127,8013011,0,8013001,0,6,,0,0,0,
128,0,0,0,0,-33,,0,0,0,
129,0,0,0,0,-1,,0,0,0,
130,8005052,0,8005001,0,6,,0,0,0,
131,0,0,0,0,-1,,0,0,0,
132,0,0,0,0,-1,,0,0,0,
133,0,0,0,0,2,,0,0,0,
