uid,report,idealprofessor,recommendation,photo,foreign_language,camp,qualification
63,2,0,-1,1,2,-1,1
65,2,0,-1,1,1,-1,-1
66,3,0,-1,1,2,-1,-1
67,1,8001010,-1,1,2,-1,-1
68,2,8014027,-1,1,1,-1,-1
71,1,0,1,1,2,-1,-1
72,2,0,-1,1,1,-1,1
73,1,0,-1,1,2,-1,-1
76,1,0,-1,1,2,-1,1
77,1,0,2,1,2,-1,1
78,1,0,-1,1,1,-1,1
81,1,0,-1,1,2,-1,1
82,1,0,-1,1,2,-1,-1
83,2,0,2,1,1,-1,1
85,1,0,-1,1,2,-1,1
87,1,0,-1,1,2,-1,1
88,3,0,-1,1,2,-1,1
89,1,0,2,1,2,-1,1
90,2,0,2,1,2,-1,-1
91,2,0,-1,1,1,-1,1
92,1,0,-1,1,2,-1,-1
93,1,0,-1,1,2,-1,-1
94,1,0,2,1,2,-1,1
97,2,0,-1,1,1,-1,-1
98,2,0,-1,1,1,-1,-1
109,2,0,2,1,1,-1,-1
111,1,0,1,1,1,1,1
119,1,0,-1,1,-1,-1,-1
120,1,0,2,1,2,-1,1
121,2,0,-1,1,2,-1,1
122,3,0,-1,1,2,-1,1
123,3,0,-1,1,2,-1,1
124,1,0,-1,1,1,-1,-1
125,1,0,-1,1,2,-1,-1
126,2,8015007,-1,1,1,-1,1
127,2,0,-1,1,2,-1,-1
128,1,0,2,1,1,-1,1
130,1,0,-1,1,1,-1,-1
131,2,0,2,1,2,-1,-1
132,2,8007005,-1,1,2,-1,1
142,1,0,-1,1,1,-1,-1
143,1,0,-1,1,2,-1,-1
145,2,0,-1,1,2,-1,-1
146,2,0,-1,1,2,-1,-1
148,1,0,2,1,1,-1,-1
149,1,0,2,1,1,-1,-1
150,-1,0,-1,-1,-1,-1,-1
151,1,0,2,1,2,-1,1
152,1,0,-1,1,2,-1,1
153,2,0,-1,1,2,-1,-1
155,3,0,4,1,2,-1,1
156,2,0,-1,1,1,-1,-1
